ID_PROYECTO,LATITUD,LONGITUD
5062,-75.505244177,6.054732297
5220,-75.555960985,6.21206588
5525,-75.556160752,6.213098768
5632,-75.638130546,6.1743528
6176,-75.566738469,6.246304465
6196,-75.462012264,6.300953111
6826,-75.458869192,6.3787022
7831,-75.371799121,6.150413514
8920,-75.559604041,6.226758644
10525,-75.557564641,6.230247574
11008,-75.381767224,6.148326449
11100,-75.334485259,6.17317457
11107,-75.331504051,6.282342608
11241,-75.533583779,6.343971707
7042,-75.499281871,6.06376499
11489,-75.623112646,6.144847583
12316,-75.571511032,6.241862759
12973,-75.361522099,6.146006278
12976,-75.379911652,6.151418501
13129,-75.528562383,6.345436919
13592,-75.622284515,6.146133336
13894,-75.570991015,6.216379989
14366,-75.361734895,6.145716761
14535,-75.615904735,6.168274073
14609,-75.619832547,6.280748134
15185,-75.550707616,6.326077098
15241,-75.583325492,6.250708322
15253,-75.570706371,6.169951976
16137,-75.565309543,6.171773648
14572,-75.434832345,6.030572737
14599,-75.620139704,6.281322632
15797,-75.502779964,6.361513404
16287,-75.55641844,6.196681589
16839,-75.615176057,6.153746803
17242,-75.403881263,6.117919777
17418,-75.516254065,6.159623148
17934,-75.501558848,6.063466362
17970,-75.56305766,6.214178078
18051,-75.565417329,6.150542993
18054,-75.579177165,6.165005235
18057,-75.62784191,6.145953749
18163,-75.607765098,6.14344308
18165,-75.632154792,6.167584654
18169,-75.380831512,6.156110652
18253,-75.337274338,6.083840438
18471,-75.5648,6.2392
18694,-75.561541331,6.244197206
18709,-75.618916586,6.153381098
19092,-75.56238,6.31543
19517,-75.56207,6.33575
19807,-75.61275,6.1769
19865,-75.55356,6.24095
20083,-75.62961,6.1699
20382,-75.63633,6.16105
20491,-75.54628,6.34811
20492,-75.634844061,6.155522316
20505,-75.56424,6.2155
20890,-75.57225,6.19137
21329,-75.54296,6.23903
21622,-75.575931946,6.160116349
18160,-75.568875983,6.318838722
21793,-75.5391,6.34644
24192,-75.63943,6.16338
1000000437,-75.363153963,6.178182195
10892,-75.376606557,6.145239843
11249,-75.827186522,6.560076151
12710,-75.539210861,6.332350486
13273,-75.443783997,6.28022628
13838,-75.614380821,6.158445019
13845,-75.635913715,6.164697667
14050,-75.616899282,6.145562406
14329,-75.590700728,6.1653764
14545,-75.550924914,6.206475094
14722,-75.376594945,6.144723247
14862,-75.428596633,6.123103164
14863,-75.364568627,6.150063742
15252,-75.638142251,6.163950896
15255,-75.605291181,6.261632839
15606,-75.535150332,6.159564291
15625,-75.605028682,6.153271188
16667,-75.436594494,6.25820413
16671,-75.619448419,6.167434441
17232,-75.499439763,6.166801398
13116,-75.372045553,6.16707649
13570,-75.544442458,6.275646722
14565,-75.634295514,6.139345135
14568,-75.589580845,6.154386581
16198,-75.55947731,6.211320723
16840,-75.375780713,6.147807022
16935,-75.379252021,6.153953957
15930,-75.558470971,6.182735485
17965,-75.633690014,6.152117722
18154,-75.535833302,6.332544848
18156,-75.627199452,6.1459821
18255,-75.569323162,6.210783841
18708,-75.610125496,6.282317838
18719,-75.63795,6.17588
18979,-75.61845,6.15114
19522,-75.63675,6.07655
19657,-75.35823,6.14678
19820,-75.60345,6.16246
19971,-75.430410063,6.022860443
19988,-75.618422915,6.136053212
20093,-75.6143,6.14802
20098,-75.550006388,6.324990922
20553,-75.609712947,6.145081014
20555,-75.37509,6.1531
20556,-75.37673,6.15212
20625,-75.5679474,6.3501854
20832,-75.26751,6.13552
20853,-76.65419,7.75828
20856,-76.6356,7.88471
20859,-76.63762,7.89127
20885,-75.50268,6.06101
21227,-75.7446,6.50981
21483,-75.51528,6.16191
21485,-75.55207,6.21557
21638,-75.62975,6.17059
21811,-75.397730425,6.148376167
21836,-75.15427,6.23124
21968,-75.63445,6.13902
22027,-75.59585,6.19394
22033,-75.563053558,6.1930472
18265,-75.563041821,6.339347727
20119,-75.60495,6.17488
20145,-75.56686,6.16643
20455,-75.56404,6.16641
20636,-75.61504,6.16846
20837,-75.571960226,6.163783419
20866,-75.52598,6.1595
20867,-75.59568105,6.240308025
21065,-75.584536403,6.146215031
21809,-75.571258744,6.15949922
21819,-75.56671,6.16598
21967,-75.63475,6.17178
21792,-75.5274,6.33556
22168,-75.56027,6.14439
22264,-75.55611,6.20182
22346,-75.56841,6.17266
22417,-75.61003,6.14817
22426,-75.53498,6.33264
22464,-75.6105,6.17475
22567,-75.600653644,6.161015333
22582,-75.61676,6.15051
22750,-75.59795,6.15762
22772,-75.747529443,6.501634721
22775,-75.569517606,6.350372838
22798,-75.55956,6.33685
23060,-75.57688,6.18058
23217,-75.59137,6.24587
23261,-75.341799097,6.178423329
23265,-75.59832,6.18809
23275,-75.56153,6.3242
23332,-75.50018,6.06418
23364,-75.5623,6.18082
23482,-75.57695,6.1881
23523,-75.568016522,6.319943277
23533,-75.581374876,6.177528008
23714,-75.559323966,6.327052182
23858,-75.49398,6.35435
24104,-75.62156,6.14098
24270,-75.5593,6.31269
24414,-75.34879,6.42704
24427,-75.55787,6.32822
24581,-75.5447093,6.3484881
24591,-75.55949,6.32723
24970,-75.454077781,6.296427584
1000000309,-75.531532651,6.18029383
1000001676,-75.379204637,6.125795982
1000002259,-75.607278234,6.185029726
1000003457,-75.57045345,6.328072165
1000005969,-75.500054247,6.06685439
1000005971,-75.448416358,6.37448909
1000007181,-75.500397569,6.063557737
1000007381,-76.631152517,7.888712345
1000007450,-75.816436893,5.59776424
1000007695,-75.42996276,6.035017912
1000007717,-75.651931649,6.17521656
1000007871,-75.430617219,6.032884033
1000008376,-75.594290978,6.248992154
1000008463,-75.557024366,6.336235932
1000007473,-75.611977464,6.1519629
1000007950,-75.396526343,6.182837779
1000008019,-75.564234143,6.172528575
1000008132,-75.605904943,6.239425483
1000008469,-75.447182542,6.044214835
1000006181,-75.372273809,6.144517246
1000008061,-75.38383413,6.126516043
1000010336,-75.5658153,6.2476376
1000010861,-75.443813687,6.180464493
1000011097,-75.5762156,6.1517945
1000011505,-75.6058856,6.1461223
14365,-75.596147932,6.159611012
17248,-75.540540444,6.337989152
15794,-75.38284423,6.124617117
17423,-75.553936175,6.233606337
18250,-75.640505658,6.179268166
18477,-75.56823,6.21324
18631,-75.42595,6.12272
18685,-75.55495,6.20477
19507,-75.56877,6.17068
19643,-75.64104,6.15408
19650,-75.608764131,6.284879702
19821,-75.570937161,6.160011895
19864,-75.549715911,6.336838
20112,-75.634759276,6.116800795
20386,-75.61043,6.25369
20391,-75.43373603,6.035903534
20621,-75.57261,6.25011
20626,-75.5785,6.18756
20643,-75.63598,6.09153
20869,-76.67702,7.66557
21038,-75.60231,6.16031
21147,-75.63379,6.09447
21484,-75.6103,6.17477
21676,-75.370520122,6.138881476
21966,-75.61188,6.14804
22026,-75.5739101,6.1616451
22086,-75.55077,6.31103
20128,-75.61793,6.15112
20629,-75.61106,6.15606
20868,-76.63663,7.88401
21324,-75.63349,6.09502
21501,-75.619651023,6.141642884
21506,-75.617575338,6.143179305
21625,-75.541457008,6.339526643
22032,-75.59291,6.26921
22088,-75.58912,6.23237
22169,-75.8271,6.55741
22267,-75.570148103,6.31709876
22306,-75.370843164,6.159178839
22425,-75.65151,6.15293
22469,-75.570022272,6.316832124
22472,-75.41711,6.11606
22570,-75.632172711,6.167575334
22579,-75.41616,6.11478
22592,-75.572852743,6.339132365
22594,-75.572847963,6.339607568
22604,-75.62093,6.14605
22742,-75.74382,6.50252
22753,-75.35853,6.1487
22765,-75.57439,6.26936
22789,-75.633976156,6.16315663
22813,-75.611042585,6.152649367
23011,-75.32999,6.07194
23055,-75.572107872,6.166638657
23083,-75.469997457,6.074987936
23085,-75.82714,6.5575
23195,-75.56439,6.22973
23213,-75.62775,6.25812
23214,-75.56758,6.35415
23267,-75.61844,6.14243
23288,-75.56904,6.17182
23368,-75.634993119,6.079406575
23369,-75.56302,6.21991
23483,-75.6362615,6.1635152
23485,-75.645114396,6.152489912
23486,-75.621602884,6.144362043
23715,-75.59735,6.26762
23720,-75.55779,6.32656
23840,-75.36474099,6.158021329
23844,-75.56945,6.16728
23878,-75.49348,6.09189
23886,-75.51935,6.34021
23905,-75.3734,6.1422
23906,-75.3646,6.15777
23907,-75.373152974,6.144046668
23929,-75.60844,6.14748
24057,-75.44028,6.28362
24066,-75.59713,6.24073
24070,-75.51935,6.34009
24206,-76.72581,8.09579
24254,-75.600004066,6.183505439
24276,-75.56018,6.24354
24283,-75.55802,6.32581
24429,-75.284288835,6.200182532
24534,-75.74304,6.50173
24535,-75.61752,6.14004
24580,-75.6080246,6.215049389
24592,-75.583772653,6.275381361
24594,-75.56365,6.18987
24696,-75.74257,6.50188
24706,-75.495500223,6.356124235
24714,-75.65331,6.17859
24722,-75.42374,6.03084
1000000150,-75.569448358,6.21239896
1000000151,-75.574898606,6.168976573
1000000182,-75.555779821,6.202927617
1000000315,-75.426672,6.032336
1000000335,-75.626922732,6.120120802
1000001434,-75.374698526,6.166512557
1000001453,-75.538763887,6.332226516
1000001482,-75.6100729,6.1483428
1000001579,-75.568235999,6.219513022
1000001603,-76.722959167,8.089243031
1000001611,-75.587007439,6.261819432
1000001617,-75.590927488,6.174704564
1000001618,-75.644453651,6.178373859
1000001667,-75.604681855,6.268604883
1000001697,-75.568117982,6.17152591
1000001762,-75.597901231,6.241579866
1000001840,-75.560994035,6.182032463
1000001853,-75.564738399,6.339850777
1000001875,-75.598504,6.2428709
1000001876,-75.550844556,6.314994207
1000001942,-75.326826459,6.166597891
1000001943,-75.499582177,6.075944085
1000001945,-75.355515367,6.182747114
1000001951,-75.556654221,6.217177231
1000001955,-75.585434323,6.152176241
1000001958,-75.375277883,6.142853161
1000002029,-75.352682954,6.144335904
1000002039,-75.358165389,6.162981849
1000002045,-75.635806209,6.13438331
1000002046,-75.628456956,6.160283134
1000002047,-75.575349218,6.147162705
1000002131,-75.63592959,6.089845048
1000002152,-75.597321874,6.198426536
1000002154,-75.368454343,6.167067228
1000002263,-75.347125417,6.183749758
1000002264,-75.573643333,6.221998121
1000002265,-75.377466565,6.119278054
1000003391,-75.498444921,6.075069262
1000003483,-75.401584989,6.0428065
1000003488,-75.608351117,6.242657054
1000003573,-75.603501683,6.268092978
1000003596,-75.362982637,6.17858719
1000004710,-75.556258595,6.21669594
1000004713,-75.447096711,6.284793628
1000005961,-76.657041198,7.754404048
