ID_PROYECTO,r7_h3,r8_h3,r9_h3
5062,876619c8affffff,886619c8a9fffff,896619c8a9bffff
5220,876619d9effffff,886619d9e5fffff,896619d9e4fffff
5525,876619d9effffff,886619d9e5fffff,896619d9e4fffff
5632,876618341ffffff,8866183417fffff,8966183416bffff
6176,876619d90ffffff,886619d907fffff,896619d9077ffff
6196,876619da1ffffff,886619da19fffff,896619da18bffff
6826,876618a4cffffff,886618a4c5fffff,896618a4c47ffff
7831,876619c00ffffff,886619c039fffff,896619c0393ffff
8920,876619d93ffffff,886619d93bfffff,896619d93afffff
10525,876619d93ffffff,886619d93bfffff,896619d93a3ffff
11008,876619c03ffffff,886619c03dfffff,896619c03d3ffff
11100,876619c2effffff,886619c2e7fffff,896619c2e73ffff
11107,876619d0cffffff,886619d0c5fffff,896619d0c4fffff
11241,876618a5affffff,886618a5a1fffff,896618a5a07ffff
7042,876619c8effffff,886619c8e3fffff,896619c8e07ffff
11489,876618348ffffff,8866183485fffff,8966183484fffff
12316,876619d90ffffff,886619d907fffff,896619d906bffff
12973,876619c01ffffff,886619c015fffff,896619c0147ffff
12976,876619c00ffffff,886619c007fffff,896619c006bffff
13129,876618a5affffff,886618a5abfffff,896618a5aafffff
13592,876618348ffffff,8866183485fffff,89661834843ffff
13894,87661836dffffff,88661836ddfffff,89661836dd7ffff
14366,876619c01ffffff,886619c015fffff,896619c0147ffff
14535,87661834cffffff,88661834c1fffff,89661834c0bffff
14609,876618364ffffff,8866183649fffff,89661836493ffff
15185,876619db6ffffff,886619db45fffff,896619db697ffff
15241,876619d92ffffff,886619d929fffff,896619d9283ffff
15253,876619cb6ffffff,886619cb69fffff,896619cb68fffff
16137,876619cb6ffffff,886619cb69fffff,896619cb44bffff
14572,876619cf3ffffff,886619cf35fffff,896619cf34fffff
14599,876618acaffffff,8866183649fffff,89661836493ffff
15797,876618a5dffffff,886618a5d5fffff,896618a5d4fffff
16287,876619d9affffff,886619d9a5fffff,896619d9a57ffff
16839,876618348ffffff,886618348dfffff,8966183488bffff
17242,876619c18ffffff,886619c18dfffff,896619c18d3ffff
17418,876619ca6ffffff,886619ca67fffff,896619ca663ffff
17934,876619c8effffff,886619c8e1fffff,896619c8e0fffff
17970,87661836dffffff,88661836d9fffff,89661836d87ffff
18051,876619cb0ffffff,886619cb05fffff,896619cb04bffff
18054,876619cb6ffffff,886619cb65fffff,896619cb657ffff
18057,87661834affffff,88661834a9fffff,8966183484bffff
18163,876618348ffffff,8866183483fffff,89661834833ffff
18165,87661834effffff,88661834e9fffff,89661834e8bffff
18169,876619c00ffffff,886619c007fffff,896619c007bffff
18253,876619c0bffffff,886619c0b3fffff,896619c0b23ffff
18471,876619d93ffffff,886619d939fffff,896619d939bffff
18694,876619d90ffffff,886619d903fffff,896619d902bffff
18709,876618348ffffff,886618348dfffff,896618348c3ffff
19092,876619db6ffffff,886619db61fffff,896619db60bffff
19517,876618ae9ffffff,886618ae95fffff,896618ae947ffff
19807,87661834cffffff,88661834c9fffff,89661834c8bffff
19865,876619d91ffffff,886619d915fffff,896619d9153ffff
20083,87661834effffff,88661834e9fffff,89661834e83ffff
20382,87661834effffff,88661834e1fffff,89661834e0bffff
20491,876618a5affffff,886618a5a5fffff,896618a5a5bffff
20492,87661834effffff,88661834e7fffff,89661834e77ffff
20505,87661836dffffff,88661836d9fffff,89661836d83ffff
20890,876618369ffffff,886618369dfffff,896618369c7ffff
21329,876619d91ffffff,886619d911fffff,896619d9117ffff
21622,876619cb6ffffff,886619cb67fffff,896619cb673ffff
18160,876619db6ffffff,886619db65fffff,896619db65bffff
21793,876618a5affffff,886618a5a1fffff,896618a5a0bffff
24192,87661834effffff,88661834e5fffff,89661834ecfffff
1000000437,876619c04ffffff,886619c043fffff,896619c0437ffff
10892,876619c03ffffff,886619c039fffff,896619c038bffff
11249,87661816cffffff,88661816cbfffff,89661816cafffff
12710,876619db4ffffff,886619db4dfffff,896619db4d7ffff
13273,876619dacffffff,886619dac1fffff,896619dac03ffff
13838,876618348ffffff,88661834c7fffff,8966183489bffff
13845,87661834effffff,88661834edfffff,89661834ec7ffff
14050,876618348ffffff,8866183481fffff,8966183480bffff
14329,87661834dffffff,88661834d9fffff,89661834d93ffff
14545,876619d9effffff,886619d9e7fffff,896619d9e6fffff
14722,876619c03ffffff,886619c039fffff,896619c038bffff
14862,876619c1effffff,886619c1e5fffff,896619c1e5bffff
14863,876619c01ffffff,886619c015fffff,896619c0153ffff
15252,87661834effffff,88661834edfffff,89661834ecfffff
15255,876618365ffffff,886618365dfffff,896618365c7ffff
15606,876619cb5ffffff,886619cb51fffff,896619cb503ffff
15625,876618348ffffff,88661834d5fffff,89661834d4bffff
16667,876619da8ffffff,886619da8bfffff,896619da8a3ffff
16671,87661834cffffff,88661834c5fffff,89661834c47ffff
17232,876619ca4ffffff,886619ca47fffff,896619ca46bffff
13116,876619c00ffffff,886619c009fffff,896619c008bffff
13570,876619db3ffffff,886619db37fffff,896619db363ffff
14565,87661834affffff,88661834a1fffff,89661834a03ffff
14568,87661834dffffff,88661834d1fffff,89661834d07ffff
16198,87661836dffffff,88661836dbfffff,89661836db3ffff
16840,876619c03ffffff,886619c039fffff,896619c039bffff
16935,876619c00ffffff,886619c007fffff,896619c0063ffff
15930,876619cb4ffffff,886619cb4dfffff,896619cb4d3ffff
17965,87661834effffff,88661834e7fffff,89661834e67ffff
18154,876619db4ffffff,886619db49fffff,896619db483ffff
18156,87661834affffff,8866183485fffff,8966183484bffff
18255,87661836dffffff,88661836d1fffff,89661836d13ffff
18708,876618acbffffff,886618acb5fffff,896618acb53ffff
18719,876618341ffffff,8866183417fffff,8966183417bffff
18979,876618348ffffff,886618348dfffff,896618348cfffff
19522,876618263ffffff,8866182639fffff,896618263bbffff
19657,876619c01ffffff,886619c011fffff,896619c010bffff
19820,87661834cffffff,88661834c3fffff,89661834c37ffff
19971,876619cd5ffffff,886619cd5dfffff,896619cd5d7ffff
19988,87661834bffffff,8866183487fffff,8966183486fffff
20093,876618348ffffff,8866183481fffff,89661834803ffff
20098,876619db4ffffff,886619db45fffff,896619db44bffff
20553,876618348ffffff,8866183483fffff,89661834833ffff
20555,876619c00ffffff,886619c007fffff,896619c0067ffff
20556,876619c00ffffff,886619c007fffff,896619c0067ffff
20625,876618ae8ffffff,886618ae8bfffff,896618ae8afffff
20832,876619c74ffffff,886619c74bfffff,896619c74afffff
20853,8766112f0ffffff,8866112f09fffff,8966112f08bffff
20856,876611233ffffff,886611233bfffff,89661123387ffff
20859,876611230ffffff,8866112339fffff,89661123393ffff
20885,876619c8effffff,886619c8e7fffff,896619c8e77ffff
21227,876618aa4ffffff,886618aa47fffff,896618aa47bffff
21483,876619ca6ffffff,886619ca67fffff,896619ca677ffff
21485,876619d9effffff,886619d9e1fffff,896619d9e0bffff
21638,87661834effffff,88661834e9fffff,89661834e93ffff
21811,876619c02ffffff,886619c027fffff,896619c0273ffff
21836,876619d6dffffff,886619d6d5fffff,896619d6d57ffff
21968,87661834affffff,88661834a1fffff,89661834a03ffff
22027,876618368ffffff,8866183687fffff,8966183687bffff
22033,876618369ffffff,886619d9a5fffff,896619d9a4bffff
18265,876618ae9ffffff,886618ae95fffff,896618ae957ffff
20119,87661834cffffff,88661834c9fffff,89661834c87ffff
20145,876619cb6ffffff,886619cb6bfffff,896619cb6bbffff
20455,876619cb6ffffff,886619cb6bfffff,896619cb6b3ffff
20636,87661834cffffff,88661834c1fffff,89661834c0bffff
20837,876619cb6ffffff,886619cb61fffff,896619cb603ffff
20866,876619cb5ffffff,886619cb5bfffff,896619cb5a3ffff
20867,876619d92ffffff,886619d925fffff,896619d924fffff
21065,876619cb2ffffff,886619cb25fffff,896619cb253ffff
21809,876619cb6ffffff,886619cb63fffff,896619cb63bffff
21819,876619cb6ffffff,886619cb6bfffff,896619cb6bbffff
21967,87661834effffff,8866183417fffff,8966183416fffff
21792,876618a5bffffff,886618a5b5fffff,896618a5b5bffff
22168,876619cb0ffffff,886619cb07fffff,896619cb07bffff
22264,876619d9affffff,886619d9adfffff,896619d9ac3ffff
22346,876619cb6ffffff,886619cb69fffff,896619cb683ffff
22417,876618348ffffff,886618348bfffff,89661834817ffff
22426,876619db4ffffff,886619db49fffff,896619db483ffff
22464,87661834cffffff,88661834c9fffff,89661834c8bffff
22567,87661834dffffff,88661834ddfffff,89661834dcbffff
22582,876618348ffffff,8866183481fffff,8966183481bffff
22750,87661834dffffff,88661834d1fffff,89661834d1bffff
