source_country,postal_code,macrozone,microzone
COLOMBIA,"130010",Cartagena,Cartagena
COLOMBIA,"130027",Cartagena,Cartagena
COLOMBIA,"130019",Cartagena,Cartagena
COLOMBIA,"130018",Cartagena,Cartagena
COLOMBIA,"130017",Cartagena,Cartagena
COLOMBIA,"130015",Cartagena,Cartagena
COLOMBIA,"130014",Cartagena,Cartagena
COLOMBIA,"130013",Cartagena,Cartagena
COLOMBIA,"130012",Cartagena,Cartagena
COLOMBIA,"130011",Cartagena,Cartagena
COLOMBIA,"130001",Cartagena,Cartagena
COLOMBIA,"130009",Cartagena,Cartagena
COLOMBIA,"130008",Cartagena,Cartagena
COLOMBIA,"130007",Cartagena,Cartagena
COLOMBIA,"130006",Cartagena,Cartagena
COLOMBIA,"130005",Cartagena,Cartagena
COLOMBIA,"130004",Cartagena,Cartagena
COLOMBIA,"130003",Cartagena,Cartagena
COLOMBIA,"130002",Cartagena,Cartagena
COLOMBIA,"470001",Santa Marta,Santa Marta
COLOMBIA,"470002",Santa Marta,Santa Marta
COLOMBIA,"470003",Santa Marta,Santa Marta
COLOMBIA,"470004",Santa Marta,Santa Marta
COLOMBIA,"470005",Santa Marta,Santa Marta
COLOMBIA,"470006",Santa Marta,Santa Marta
COLOMBIA,"470007",Santa Marta,Santa Marta
COLOMBIA,"470008",Santa Marta,Santa Marta
COLOMBIA,"470009",Santa Marta,Santa Marta
COLOMBIA,"470017",Santa Marta,Santa Marta
COLOMBIA,"660001",Pereira,Pereira
COLOMBIA,"660002",Pereira,Pereira
COLOMBIA,"660003",Pereira,Pereira
COLOMBIA,"660004",Pereira,Pereira
COLOMBIA,"660005",Pereira,Pereira
COLOMBIA,"660006",Pereira,Pereira
COLOMBIA,"660007",Pereira,Pereira
COLOMBIA,"660008",Pereira,Pereira
COLOMBIA,"660009",Pereira,Pereira
COLOMBIA,"660017",Pereira,Pereira
COLOMBIA,"661001",Pereira,Pereira
COLOMBIA,"661002",Pereira,Pereira
COLOMBIA,"661007",Pereira,Pereira
COLOMBIA,"661008",Pereira,Pereira
COLOMBIA,"661020",Pereira,Pereira
COLOMBIA,"661027",Pereira,Pereira
COLOMBIA,"661028",Pereira,Pereira
COLOMBIA,"762021",Pereira,Pereira
COLOMBIA,"762022",Pereira,Pereira
COLOMBIA,"762027",Pereira,Pereira
COLOMBIA,"630001",Armenia,Armenia
COLOMBIA,"630002",Armenia,Armenia
COLOMBIA,"630003",Armenia,Armenia
COLOMBIA,"630004",Armenia,Armenia
COLOMBIA,"630007",Armenia,Armenia
COLOMBIA,"630008",Armenia,Armenia
COLOMBIA,"687031",Barrancabermeja,Barrancabermeja
COLOMBIA,"687032",Barrancabermeja,San Silvestre
COLOMBIA,"687033",Barrancabermeja,La Planada - San Ignacio
COLOMBIA,"687037",Barrancabermeja,Barrancabermeja
COLOMBIA,"687038",Barrancabermeja,Barrancabermeja
COLOMBIA,"687039",Barrancabermeja,Barrancabermeja
COLOMBIA,"687047",Barrancabermeja,Barrancabermeja
ECUADOR,"100217",Imbabura,SIN ASIGNAR
ECUADOR,"240109",Santa Elena,SIN ASIGNAR
ECUADOR,"180401",Tungurahua,SIN ASIGNAR
ECUADOR,"180108",Tungurahua,SIN ASIGNAR
ECUADOR,"170204",Pichincha,SIN ASIGNAR
ECUADOR,"170908",Pichincha,SIN ASIGNAR
ECUADOR,"091303",Guayas,SIN ASIGNAR
ECUADOR,"170501",Pichincha,SIN ASIGNAR
ECUADOR,"170312",Pichincha,SIN ASIGNAR
ECUADOR,"170407",Pichincha,SIN ASIGNAR
ECUADOR,"170702",Pichincha,SIN ASIGNAR
ECUADOR,"170517",Pichincha,SIN ASIGNAR
ECUADOR,"240104",Santa Elena,SIN ASIGNAR
ECUADOR,"170805",Pichincha,SIN ASIGNAR
ECUADOR,"130215",Manabi,SIN ASIGNAR
ECUADOR,"130105",Manabi,SIN ASIGNAR
ECUADOR,"092102",Guayas,SIN ASIGNAR
