,nombre,r8_h3
0,Comuna 6,8866f1c469fffff
1,Comuna 6,8866f1c463fffff
2,Comuna 6,8866f1c46dfffff
3,Comuna 6,8866f1c405fffff
4,Comuna 6,8866f1c461fffff
5,Comuna 4,8866f1c519fffff
6,Comuna 4,8866f1c51dfffff
7,Comuna 4,8866f1c557fffff
8,Comuna 4,8866f1c551fffff
9,Comuna 4,8866f1c465fffff
10,Comuna 5,8866f1c429fffff
11,Comuna 5,8866f1c42dfffff
12,Comuna 5,8866f1c553fffff
13,Comuna 5,8866f1c467fffff
14,Comuna 5,8866f1c425fffff
15,Comuna 5,8866f1c55bfffff
16,Comuna 7,8866f1c423fffff
17,Comuna 7,8866f1c435fffff
18,Comuna 7,8866f1c427fffff
19,Comuna 7,8866f1c421fffff
20,Comuna 7,8866f1c43dfffff
21,Comuna 7,8866f1c42bfffff
22,Comuna 7,8866f1c51bfffff
23,Comuna 8,8866f1c5e9fffff
24,Comuna 8,8866f1c511fffff
25,Comuna 8,8866f1c5cdfffff
26,Comuna 8,8866f1c5c5fffff
27,Comuna 8,8866f1c5c9fffff
28,Comuna 8,8866f1c513fffff
29,Comuna 8,8866f1c517fffff
30,Comuna 9,8866f1c53bfffff
31,Comuna 9,8866f1c537fffff
32,Comuna 9,8866f1c5edfffff
33,Comuna 9,8866f1c533fffff
34,Comuna 21,8866f1c59bfffff
35,Comuna 21,8866f1c5dbfffff
36,Comuna 21,8866f1c5d9fffff
37,Comuna 21,8866f1c599fffff
38,Comuna 21,8866f1c437fffff
39,Comuna 13,8866f1c5cbfffff
40,Comuna 13,8866f1c581fffff
41,Comuna 13,8866f1c5c3fffff
42,Comuna 13,8866f1c58dfffff
43,Comuna 13,8866f1c589fffff
44,Comuna 12,8866f1c5ebfffff
45,Comuna 12,8866f1c5c1fffff
46,Comuna 12,8866f1c5c7fffff
47,Comuna 10,8866f1ced3fffff
48,Comuna 10,8866f1c5a5fffff
49,Comuna 10,8866f1c5e5fffff
50,Comuna 10,8866f1cedbfffff
51,Comuna 2,8866f1ce81fffff
52,Comuna 2,8866f1ce8dfffff
53,Comuna 16,8866f1c5a3fffff
54,Comuna 16,8866f1c5a7fffff
55,Comuna 16,8866f1c5abfffff
56,Comuna 16,8866f11b49fffff
57,Comuna 16,8866f11b4dfffff
58,Comuna 16,8866f1c585fffff
59,Comuna 16,8866f1c5a1fffff
60,Comuna 15,8866f1c5bdfffff
61,Comuna 15,8866f1c58bfffff
62,Comuna 15,8866f1c5b5fffff
63,Comuna 15,8866f1c587fffff
64,Comuna 15,8866f1c583fffff
65,Comuna 17,8866f11b6dfffff
66,Comuna 17,8866f11b41fffff
67,Comuna 17,8866f11b47fffff
68,Comuna 17,8866f1ce95fffff
69,Comuna 17,8866f11b01fffff
70,Comuna 17,8866f11b45fffff
71,Comuna 17,8866f1ce91fffff
72,Comuna 17,8866f11b69fffff
73,Comuna 17,8866f11b0dfffff
74,Comuna 17,8866f11b09fffff
75,Comuna 17,8866f11b6bfffff
76,Comuna 17,8866f1ce93fffff
77,Comuna 17,8866f1ce99fffff
78,Comuna 17,8866f1ce9bfffff
79,Comuna 17,8866f11b61fffff
80,Comuna 17,8866f11b63fffff
81,Comuna 17,8866f1ce97fffff
82,Comuna 18,8866f1ccdbfffff
83,Comuna 18,8866f1ccd9fffff
84,Comuna 18,8866f1ceb3fffff
85,Comuna 18,8866f1ceb1fffff
86,Comuna 18,8866f1cebbfffff
87,Comuna 18,8866f11b65fffff
88,Comuna 22,8866f1194dfffff
89,Comuna 22,8866f11949fffff
90,Comuna 22,8866f11941fffff
91,Comuna 22,8866f11b05fffff
92,Comuna 22,8866f11b27fffff
