,identificacion,codigo,nombre,r8_h3
0,Comuna 1,01,Popular,886619db07fffff
1,Comuna 1,01,Popular,886619db3dfffff
2,Comuna 1,01,Popular,886619db39fffff
3,Comuna 2,02,Santa Cruz,886619db2bfffff
4,Comuna 2,02,Santa Cruz,886619db05fffff
5,Comuna 3,03,Manrique,886619d959fffff
6,Comuna 3,03,Manrique,886619db37fffff
7,Comuna 3,03,Manrique,886619db33fffff
8,Comuna 3,03,Manrique,886619db31fffff
9,Comuna 3,03,Manrique,886619db35fffff
10,Comuna 3,03,Manrique,886619d95dfffff
11,Comuna 4,04,Aranjuez,886619db23fffff
12,Comuna 4,04,Aranjuez,886619d94bfffff
13,Comuna 4,04,Aranjuez,886619d941fffff
14,Comuna 4,04,Aranjuez,886619d949fffff
15,Comuna 4,04,Aranjuez,886619d94dfffff
16,Comuna 4,04,Aranjuez,886619db27fffff
17,Comuna 4,04,Aranjuez,886619d947fffff
18,Comuna 4,04,Aranjuez,886619d943fffff
19,Comuna 5,05,Castilla,886618acdbfffff
20,Comuna 5,05,Castilla,886619db25fffff
21,Comuna 5,05,Castilla,886619d96bfffff
22,Comuna 5,05,Castilla,886619db2dfffff
23,Comuna 5,05,Castilla,886619d945fffff
24,Comuna 5,05,Castilla,886619db67fffff
25,Comuna 5,05,Castilla,886618ac9bfffff
26,Comuna 5,05,Castilla,886619db21fffff
27,Comuna 5,05,Castilla,886619db29fffff
28,Comuna 6,06,Doce de Octubre,886618acd7fffff
29,Comuna 6,06,Doce de Octubre,886618ac99fffff
30,Comuna 6,06,Doce de Octubre,886618ac9dfffff
31,Comuna 6,06,Doce de Octubre,886618acd1fffff
32,Comuna 6,06,Doce de Octubre,886618acd3fffff
33,Comuna 6,06,Doce de Octubre,886618ac91fffff
34,Comuna 7,07,Robledo,886618acb9fffff
35,Comuna 7,07,Robledo,886619d96dfffff
36,Comuna 7,07,Robledo,886618ac97fffff
37,Comuna 7,07,Robledo,886618acbbfffff
38,Comuna 7,07,Robledo,886619d961fffff
39,Comuna 7,07,Robledo,886618ac95fffff
40,Comuna 7,07,Robledo,886618ac83fffff
41,Comuna 7,07,Robledo,886618acb1fffff
42,Comuna 7,07,Robledo,886618ac93fffff
43,Comuna 7,07,Robledo,886619d969fffff
44,Comuna 8,08,Villa Hermosa,886619d827fffff
45,Comuna 8,08,Villa Hermosa,886619d951fffff
46,Comuna 8,08,Villa Hermosa,886619d91bfffff
47,Comuna 8,08,Villa Hermosa,886619d955fffff
48,Comuna 8,08,Villa Hermosa,886619d957fffff
49,Comuna 8,08,Villa Hermosa,886619d91dfffff
50,Comuna 8,08,Villa Hermosa,886619d9cdfffff
51,Comuna 8,08,Villa Hermosa,886619d919fffff
52,Comuna 9,09,Buenos Aires,886619d913fffff
53,Comuna 9,09,Buenos Aires,886619d915fffff
54,Comuna 9,09,Buenos Aires,886619d911fffff
55,Comuna 9,09,Buenos Aires,886619d933fffff
56,Comuna 9,09,Buenos Aires,886619d93bfffff
57,Comuna 9,09,Buenos Aires,886619d917fffff
58,Comuna 10,10,La Candelaria,886619d901fffff
59,Comuna 10,10,La Candelaria,886619d92bfffff
60,Comuna 10,10,La Candelaria,886619d931fffff
61,Comuna 10,10,La Candelaria,886619d903fffff
62,Comuna 10,10,La Candelaria,886619d90dfffff
63,Comuna 10,10,La Candelaria,886619d907fffff
64,Comuna 10,10,La Candelaria,886619d90bfffff
65,Comuna 10,10,La Candelaria,886619d909fffff
66,Comuna 10,10,La Candelaria,886619d905fffff
67,Comuna 10,10,La Candelaria,886619d93dfffff
68,Comuna 10,10,La Candelaria,886619d939fffff
69,Comuna 11,11,Laureles Estadio,8866183619fffff
70,Comuna 11,11,Laureles Estadio,886618365bfffff
71,Comuna 11,11,Laureles Estadio,8866183653fffff
72,Comuna 11,11,Laureles Estadio,886619d929fffff
73,Comuna 11,11,Laureles Estadio,886619d921fffff
74,Comuna 11,11,Laureles Estadio,886618361dfffff
75,Comuna 11,11,Laureles Estadio,886619d967fffff
76,Comuna 11,11,Laureles Estadio,886619d92dfffff
77,Comuna 11,11,Laureles Estadio,886619d963fffff
78,Comuna 11,11,Laureles Estadio,886619d965fffff
79,Comuna 11,11,Laureles Estadio,886619d925fffff
80,Comuna 12,12,La América,8866183657fffff
81,Comuna 12,12,La América,8866183651fffff
82,Comuna 12,12,La América,8866183659fffff
83,Comuna 12,12,La América,886618acb3fffff
84,Comuna 13,13,San Javier,8866183655fffff
85,Comuna 13,13,San Javier,8866183609fffff
86,Comuna 13,13,San Javier,886618360dfffff
87,Comuna 13,13,San Javier,886618365dfffff
88,Comuna 13,13,San Javier,886618360bfffff
89,Comuna 13,13,San Javier,8866183601fffff
90,Comuna 14,14,El Poblado,8866183691fffff
91,Comuna 14,14,El Poblado,886619d9a5fffff
92,Comuna 14,14,El Poblado,8866183695fffff
93,Comuna 14,14,El Poblado,88661836d9fffff
94,Comuna 14,14,El Poblado,886618369bfffff
95,Comuna 14,14,El Poblado,886619d935fffff
96,Comuna 14,14,El Poblado,886619d9e5fffff
97,Comuna 14,14,El Poblado,886619d9e7fffff
98,Comuna 14,14,El Poblado,88661836ddfffff
99,Comuna 14,14,El Poblado,886618369dfffff
100,Comuna 14,14,El Poblado,88661836d7fffff
101,Comuna 14,14,El Poblado,88661836dbfffff
102,Comuna 14,14,El Poblado,886619d9adfffff
103,Comuna 14,14,El Poblado,88661836d5fffff
104,Comuna 14,14,El Poblado,8866183699fffff
105,Comuna 14,14,El Poblado,886619d937fffff
106,Comuna 14,14,El Poblado,88661836d3fffff
107,Comuna 14,14,El Poblado,88661836d1fffff
108,Comuna 14,14,El Poblado,8866183693fffff
109,Comuna 16,16,Belén,886619d923fffff
110,Comuna 16,16,Belén,88661836e3fffff
111,Comuna 16,16,Belén,8866183613fffff
112,Comuna 16,16,Belén,88661836cdfffff
113,Comuna 16,16,Belén,8866183615fffff
114,Comuna 16,16,Belén,886619d927fffff
115,Comuna 16,16,Belén,886618361bfffff
116,Comuna 16,16,Belén,8866183611fffff
117,Comuna 16,16,Belén,88661836e9fffff
118,Comuna 16,16,Belén,88661836ebfffff
119,Comuna 16,16,Belén,88661836c5fffff
120,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad19fffff
121,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad33fffff
122,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618af33fffff
123,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad63fffff
124,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ac2dfffff
125,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832d5fffff
126,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832dbfffff
127,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad07fffff
128,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,8866183291fffff
129,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618adebfffff
130,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad57fffff
131,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad11fffff
132,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618329bfffff
133,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ade1fffff
134,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad43fffff
135,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ada1fffff
136,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832d7fffff
137,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad05fffff
138,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad51fffff
139,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ada5fffff
140,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,8866183297fffff
141,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad69fffff
142,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ada7fffff
143,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832ddfffff
144,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad45fffff
145,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ac25fffff
146,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad55fffff
147,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad17fffff
148,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad0bfffff
149,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad21fffff
150,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad1dfffff
151,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618adadfffff
152,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618adcdfffff
153,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad59fffff
154,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad5bfffff
155,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad01fffff
156,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad37fffff
157,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618adedfffff
158,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618af37fffff
159,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad47fffff
160,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad4bfffff
161,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad1bfffff
162,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ac27fffff
163,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ac67fffff
164,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad13fffff
165,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ac21fffff
166,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618376dfffff
167,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ade7fffff
168,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad39fffff
169,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832d1fffff
170,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad23fffff
171,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad61fffff
172,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832cbfffff
173,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832d3fffff
174,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ade5fffff
175,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad29fffff
176,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad3bfffff
177,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,8866183769fffff
178,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad35fffff
179,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,8866183293fffff
180,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad03fffff
181,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad41fffff
182,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad53fffff
183,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ade3fffff
184,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832c9fffff
185,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad2bfffff
186,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad15fffff
187,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad31fffff
188,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad5dfffff
189,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ade9fffff
190,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,8866183299fffff
191,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,88661832d9fffff
192,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ada9fffff
193,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad0dfffff
194,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad09fffff
195,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad6bfffff
196,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618329dfffff
197,Corregimiento 50,50,Corregimiento de San Sebastián de Palmitas,886618ad3dfffff
198,Corregimiento 60,60,Corregimiento de San Cristóbal,886618aca9fffff
199,Corregimiento 60,60,Corregimiento de San Cristóbal,886618add9fffff
200,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adc9fffff
201,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adcbfffff
202,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adbdfffff
203,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183669fffff
204,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ada3fffff
205,Corregimiento 60,60,Corregimiento de San Cristóbal,886618375dfffff
206,Corregimiento 60,60,Corregimiento de San Cristóbal,886618add7fffff
207,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adb1fffff
208,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183759fffff
209,Corregimiento 60,60,Corregimiento de San Cristóbal,886618366bfffff
210,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183641fffff
211,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adb3fffff
212,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac8dfffff
213,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad9dfffff
214,Corregimiento 60,60,Corregimiento de San Cristóbal,886618addbfffff
215,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad99fffff
216,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac35fffff
217,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adddfffff
218,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad8dfffff
219,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183663fffff
220,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac37fffff
221,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad95fffff
222,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adc5fffff
223,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad83fffff
224,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad85fffff
225,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183649fffff
226,Corregimiento 60,60,Corregimiento de San Cristóbal,886618add1fffff
227,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac81fffff
228,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adb7fffff
229,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac87fffff
230,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac85fffff
231,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183643fffff
232,Corregimiento 60,60,Corregimiento de San Cristóbal,886618aca3fffff
233,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad89fffff
234,Corregimiento 60,60,Corregimiento de San Cristóbal,886618aca7fffff
235,Corregimiento 60,60,Corregimiento de San Cristóbal,886618aca5fffff
236,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad81fffff
237,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ace5fffff
238,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ace1fffff
239,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad8bfffff
240,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adc1fffff
241,Corregimiento 60,60,Corregimiento de San Cristóbal,886618acd5fffff
242,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adbbfffff
243,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adb5fffff
244,Corregimiento 60,60,Corregimiento de San Cristóbal,886618acbdfffff
245,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ac8bfffff
246,Corregimiento 60,60,Corregimiento de San Cristóbal,886618acabfffff
247,Corregimiento 60,60,Corregimiento de San Cristóbal,886618366dfffff
248,Corregimiento 60,60,Corregimiento de San Cristóbal,886618acb5fffff
249,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183645fffff
250,Corregimiento 60,60,Corregimiento de San Cristóbal,886618add5fffff
251,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183647fffff
252,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad93fffff
253,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183665fffff
254,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad87fffff
255,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad97fffff
256,Corregimiento 60,60,Corregimiento de San Cristóbal,886618ad91fffff
257,Corregimiento 60,60,Corregimiento de San Cristóbal,886618acadfffff
258,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adb9fffff
259,Corregimiento 60,60,Corregimiento de San Cristóbal,886618374bfffff
260,Corregimiento 60,60,Corregimiento de San Cristóbal,886618add3fffff
261,Corregimiento 60,60,Corregimiento de San Cristóbal,886618aca1fffff
262,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adabfffff
263,Corregimiento 60,60,Corregimiento de San Cristóbal,886618adc7fffff
264,Corregimiento 60,60,Corregimiento de San Cristóbal,886618364dfffff
265,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183661fffff
266,Corregimiento 60,60,Corregimiento de San Cristóbal,8866183749fffff
