,source_country,macrozone,microzone,r8_h3
0,COLOMBIA,Cartagena,Cartagena,8866313ab3fffff
1,COLOMBIA,Cartagena,Cartagena,8866313ab5fffff
2,COLOMBIA,Cartagena,Cartagena,8866313ab7fffff
3,COLOMBIA,Cartagena,Cartagena,88663138c9fffff
4,COLOMBIA,Cartagena,Cartagena,8866064d95fffff
5,COLOMBIA,Cartagena,Cartagena,886615b66dfffff
6,COLOMBIA,Cartagena,Cartagena,8866064d91fffff
7,COLOMBIA,Cartagena,Cartagena,8866064dbbfffff
8,COLOMBIA,Cartagena,Cartagena,8866064d97fffff
9,COLOMBIA,Cartagena,Cartagena,88663165edfffff
10,COLOMBIA,Cartagena,Cartagena,8866316ed9fffff
11,COLOMBIA,Cartagena,Cartagena,8866316ea9fffff
12,COLOMBIA,Cartagena,Cartagena,8866061a49fffff
13,COLOMBIA,Cartagena,Cartagena,886606024bfffff
14,COLOMBIA,Cartagena,Cartagena,8866061817fffff
15,COLOMBIA,Cartagena,Cartagena,8866061a4dfffff
16,COLOMBIA,Cartagena,Cartagena,8866316eddfffff
17,COLOMBIA,Cartagena,Cartagena,8866316533fffff
18,COLOMBIA,Cartagena,Cartagena,886606c4b5fffff
19,COLOMBIA,Cartagena,Cartagena,8866316c5bfffff
20,COLOMBIA,Cartagena,Cartagena,8866061a65fffff
21,COLOMBIA,Cartagena,Cartagena,8866316537fffff
22,COLOMBIA,Cartagena,Cartagena,886606c59bfffff
23,COLOMBIA,Cartagena,Cartagena,88663139a5fffff
24,COLOMBIA,Cartagena,Cartagena,8866312b61fffff
25,COLOMBIA,Cartagena,Cartagena,88663139e5fffff
26,COLOMBIA,Cartagena,Cartagena,88663176d3fffff
27,COLOMBIA,Cartagena,Cartagena,8866317699fffff
28,COLOMBIA,Cartagena,Cartagena,88663139abfffff
29,COLOMBIA,Cartagena,Cartagena,88663139a1fffff
30,COLOMBIA,Cartagena,Cartagena,8866313985fffff
31,COLOMBIA,Cartagena,Cartagena,88663176dbfffff
32,COLOMBIA,Cartagena,Cartagena,8866312b4dfffff
33,COLOMBIA,Cartagena,Cartagena,88663139bdfffff
34,COLOMBIA,Cartagena,Cartagena,8866317691fffff
35,COLOMBIA,Cartagena,Cartagena,88663139e7fffff
36,COLOMBIA,Cartagena,Cartagena,88663139a3fffff
37,COLOMBIA,Cartagena,Cartagena,88663139b1fffff
38,COLOMBIA,Cartagena,Cartagena,8866317693fffff
39,COLOMBIA,Cartagena,Cartagena,8866312b69fffff
40,COLOMBIA,Cartagena,Cartagena,88663139a7fffff
41,COLOMBIA,Cartagena,Cartagena,886631769bfffff
42,COLOMBIA,Cartagena,Cartagena,8866312b6bfffff
43,COLOMBIA,Cartagena,Cartagena,88663139adfffff
44,COLOMBIA,Cartagena,Cartagena,8866313981fffff
45,COLOMBIA,Cartagena,Cartagena,88663139a9fffff
46,COLOMBIA,Cartagena,Cartagena,88663128cdfffff
47,COLOMBIA,Cartagena,Cartagena,88663128edfffff
48,COLOMBIA,Cartagena,Cartagena,88660691c1fffff
49,COLOMBIA,Cartagena,Cartagena,886631291dfffff
50,COLOMBIA,Cartagena,Cartagena,88663164a5fffff
51,COLOMBIA,Cartagena,Cartagena,88663128e5fffff
52,COLOMBIA,Cartagena,Cartagena,886606905dfffff
53,COLOMBIA,Cartagena,Cartagena,886606925dfffff
54,COLOMBIA,Cartagena,Cartagena,88663166ddfffff
55,COLOMBIA,Cartagena,Cartagena,8866069047fffff
56,COLOMBIA,Cartagena,Cartagena,886606900bfffff
57,COLOMBIA,Cartagena,Cartagena,8866312827fffff
58,COLOMBIA,Cartagena,Cartagena,88663129e1fffff
59,COLOMBIA,Cartagena,Cartagena,88663164a7fffff
60,COLOMBIA,Cartagena,Cartagena,886631283dfffff
61,COLOMBIA,Cartagena,Cartagena,8866312943fffff
62,COLOMBIA,Cartagena,Cartagena,8866069233fffff
63,COLOMBIA,Cartagena,Cartagena,8866316683fffff
64,COLOMBIA,Cartagena,Cartagena,88663164abfffff
65,COLOMBIA,Cartagena,Cartagena,88663128a9fffff
66,COLOMBIA,Cartagena,Cartagena,886631659bfffff
67,COLOMBIA,Cartagena,Cartagena,886606923bfffff
68,COLOMBIA,Cartagena,Cartagena,8866316591fffff
69,COLOMBIA,Cartagena,Cartagena,886631291bfffff
70,COLOMBIA,Cartagena,Cartagena,88663165bbfffff
71,COLOMBIA,Cartagena,Cartagena,88663128a1fffff
72,COLOMBIA,Cartagena,Cartagena,88663129cdfffff
73,COLOMBIA,Cartagena,Cartagena,88663164cbfffff
74,COLOMBIA,Cartagena,Cartagena,8866069057fffff
75,COLOMBIA,Cartagena,Cartagena,886631281bfffff
76,COLOMBIA,Cartagena,Cartagena,886631292bfffff
