id,lat,lng,segment,app_type,acum_total
699,-0.2060196000,-78.4202332000,Loyal shy,B2B,175.668449826
1357,-2.0642063000,-79.8939055000,Inactive,B2B,0
1980,-2.1852196000,-79.8878489000,Champion confident,B2B,1984.257620773
1997,-2.1179610000,-79.9395466000,Loyal shy,B2B,358.828719147
3676,-2.0731334000,-79.9416525000,About to sleep,B2B,375.44121216
845,-0.5128768000,-78.5679417000,Inactive,B2B,0
4286,-2.1132292000,-79.9843506000,Inactive,B2B,0
352,-0.1651843000,-78.4869359000,Inactive,B2B,0
3810,-0.2489665000,-79.1633683000,Inactive,B2B,0
1872,-0.1291835000,-78.4998082000,Loyal shy,B2B,519.485698654
1674,-2.0731718000,-79.9439937000,Loyal confident,B2B,16661.401358286
4115,-2.0729021000,-79.9412392000,About to sleep,B2B,347.630752
2815,-2.1470677000,-79.9117011000,Loyal shy,B2B,226.907340653
3090,-0.1026807000,-78.4193559000,Inactive,B2B,0
1648,-2.1287375000,-79.9445020000,Champion shy,B2B,957.74482938
691,-0.3779778000,-78.5052277000,Loyal shy,B2B,431.309813741
2688,-0.2192483000,-78.3831650000,Inactive,B2B,0
1687,-2.0871046000,-79.9235667000,Inactive,B2B,0
1359,-2.1742158000,-79.8873304000,Inactive,B2B,0
1606,-0.1010292000,-78.4183354000,Champion confident,B2B,31681.807147911
6047,-0.3219073000,-78.4604827000,Inactive,B2B,0
1080,-0.2330112000,-78.5245798000,Inactive,B2B,0
1484,-2.2631851000,-79.8896076000,Inactive,B2B,0
3956,-0.2834000000,0.0000000000,Inactive,B2B,0
659,-0.0634351000,-78.4247164000,Inactive,B2B,0
2053,-0.1792876000,-78.4783603000,Inactive,B2B,0
3506,0.2365625000,-78.2671875000,Loyal shy,B2B,329.817071129
2726,-2.1389137000,-79.9058259000,Champion confident,B2B,9846.0859392
4466,-0.1236404000,0.0000000000,Champion confident,B2B,1596.452262723
2185,-2.1944001000,-79.9140147000,Loyal confident,B2B,2207.124601969
3207,-2.2021085000,-79.8906768000,Champion shy,B2B,630.35183681
2719,-2.1668219000,-79.8983063000,Inactive,B2B,0
680,-0.1632190000,-78.3135530000,Loyal shy,B2B,157.34886944
3787,-0.3353483000,-78.4416348000,Inactive,B2B,0
3921,0.2370342000,-78.2541225000,Inactive,B2B,0
5708,-2.0732745000,-79.9438953000,Newbie shy,B2B,12.212246728
3557,-0.2912632000,-78.5357431000,Inactive,B2B,0
2525,-0.1026806000,-78.4193560000,Inactive,B2B,0
2575,-2.1612834000,-79.8331264000,Loyal confident,B2B,7239.4334208
713,-0.2911938000,-78.4028426000,At risk confident,B2B,3000.022243991
3277,-2.0770925000,-79.9437015000,About to sleep,B2B,30624.280512
4150,-0.1026807000,-78.4193559000,About to sleep,B2B,241.9339552
6208,-0.9346299000,-78.6748945000,Inactive,B2B,0
