id,lat,lng,segment,app_type,acum_total
4704,19.5656066000,-99.1994763000,Inactive,B2B,0
2073,19.6515882000,-99.0647795000,About to sleep,B2B,36588.777871111
2123,19.6766899000,-99.1692494000,Champion confident,B2B,9050.552
3826,19.6189884000,-99.0905422000,Inactive,B2B,0
3753,19.6385523000,-99.2168423000,Inactive,B2B,0
1538,19.6296371000,-99.2869252000,Champion confident,B2B,23255.231476444
3857,19.5075910000,-99.0955546000,Inactive,B2B,0
4680,19.4274749000,-99.0965365000,Inactive,B2B,0
2849,19.5163767000,-99.1339292000,At risk shy,B2B,740.05
4305,19.5914813000,-99.2419794000,Inactive,B2B,0
2867,19.6404470000,-99.1334114000,Inactive,B2B,0
1933,19.6208514000,-99.0670112000,About to sleep,B2B,1349.574593407
3437,19.5911092000,-99.2929611000,Newbie Confident,B2B,10790.60652
1301,19.5574207000,-99.2409081000,Newbie shy,B2B,2885.092682866
765,19.5934187000,-99.2800295000,Inactive,B2B,0
2495,19.5653203000,-99.2016332000,Inactive,B2B,0
4505,19.5653203000,-99.2016332000,Inactive,B2B,0
3134,19.4449296000,-99.1118375000,Inactive,B2B,0
4290,19.4942087000,-99.0775166000,Inactive,B2B,0
2927,19.6748656000,-99.0808825000,Champion confident,B2B,293376.88511488
5003,19.6268184000,-99.1007570000,Inactive,B2B,0
1485,19.5345540000,-99.0339495000,Inactive,B2B,0
3319,19.6440700000,-99.1645242000,Inactive,B2B,0
1262,19.4508760000,-99.2447601000,Inactive,B2B,0
314,19.5287238000,-99.2189852000,Inactive,B2B,227.36
4834,19.6694617000,-99.2423390000,Newbie Confident,B2B,73077.544512
124,19.5237027000,-99.1922005000,Inactive,B2B,0
4350,19.5395679000,-99.1544437000,Inactive,B2B,0
1868,19.6252817000,-99.3029573000,Inactive,B2B,0
1046,19.6359768000,-99.1205923000,Newbie shy,B2B,2333.92
4915,19.6706459000,-99.1265022000,Inactive,B2B,0
2210,19.4179134000,-99.0859016000,Inactive,B2B,0
2523,19.5952220000,-99.3059755000,Loyal confident,B2B,13595.857096774
722,19.5144471000,-99.2023032000,Inactive,B2B,0
2205,19.5935906000,-99.1724619000,About to sleep,B2B,1298.96568
1888,19.5574132000,-99.2029771000,Inactive,B2B,0
416,19.5502589000,-99.2055214000,Inactive,B2B,0
5017,19.4559155000,-99.2590733000,Inactive,B2B,0
5249,19.5643157000,-99.0272943000,Inactive,B2B,0
1706,19.5857131000,-99.1845542000,Inactive,B2B,0
5601,19.5631276000,-99.0257497000,Newbie shy,B2B,1114.992
4730,19.4396564000,-99.0848964000,Newbie shy,B2B,1037.852
1526,19.5393764000,-99.0375524000,Loyal confident,B2B,37365.074
1768,19.5720703000,-99.1331635000,At risk shy,B2B,1022.0652
