id,lat,lng,segment,app_type,acum_total
22525,4.6961087,-74.1786334,uci,B2B,2375497.9111111998
23037,4.5744430,-74.2121740,uci,B2B,245794.2
23133,4.7387264,-74.0920805,uci,B2B,544800.0
24336,4.5403624,-74.1068089,safe,B2B,1350400.0
21795,4.6942060,-74.0441430,on boarding,B2B,
22870,4.6961087,-74.1786334,uci,B2B,16738.54
21408,4.7469296,-74.0630637,on boarding,B2B,
21857,4.7494713,-74.0566928,on boarding,B2B,
22961,4.5970486,-74.1991147,on boarding,B2B,
21350,4.6051233,-74.0768016,on boarding,B2B,
21750,4.6604603,-74.0716541,on boarding,B2B,
22454,4.7305721,-74.2594042,uci,B2B,861056.61113305
23802,4.6238334,-74.2115108,on boarding,B2B,
21793,4.5810732,-74.0822564,on boarding,B2B,
22077,4.6076248,-74.1109455,safe,B2B,1391642.0247222
20402,4.7065218,-74.1153264,on boarding,B2B,
21660,4.6121964,-74.0774029,on boarding,B2B,
21610,4.7108570,-74.1360052,on boarding,B2B,
21562,4.6693845,-74.1336258,on boarding,B2B,
20345,4.6685881,-74.0741829,on boarding,B2B,
22072,4.7497707,-74.0476747,safe,B2B,358389.88020676
20576,4.7565287,-74.1009121,on boarding,B2B,
11887,4.6672197,-74.0537179,on boarding,B2B,
10324,4.6535678,-74.0715121,on boarding,B2B,
10008,4.6041918,-74.0773735,on boarding,B2B,
20029,4.6261929,-74.1995257,on boarding,B2B,
10362,4.7152789,-74.0520977,on boarding,B2B,
10642,4.7401570,-74.0303098,on boarding,B2B,
20648,4.5735813,-74.0999040,on boarding,B2B,
11097,4.6162182,-74.1444153,churn,B2B,2402134.0
12220,4.6942138,-74.1732877,on boarding,B2B,
20702,4.6061911,-74.1406288,on boarding,B2B,
11511,4.7083970,-74.0723176,churn,B2B,2076314.3800000001
12476,4.6459896,-74.1492731,on boarding,B2C,
10828,4.5703095,-74.0803232,churn,B2B,4064883.68
10784,4.5874621,-74.1106645,on boarding,B2B,
20644,4.6979340,-74.0777659,on boarding,B2B,
10379,4.7109886,-74.0720920,on boarding,B2B,
10392,4.5643335,-74.1536372,on boarding,B2B,
11695,4.6758311,-74.0841758,on boarding,B2B,
10341,4.6513654,-74.1377768,on boarding,B2B,
12555,4.6096422,-74.1430299,on boarding,B2C,
20591,4.6794903,-74.1517496,churn,B2B,7781757.0
10069,4.7006869,-74.1118736,on boarding,B2B,
20686,4.5999471,-74.1551289,churn,B2B,20366713.4251636
11284,4.7196998,-74.1066320,on boarding,B2C,
13862,4.7021343,-74.1268648,on boarding,B2C,
13964,4.6496864,-74.1065824,on boarding,B2C,
11334,4.5925803,-74.0966419,on boarding,B2C,
11356,4.6140597,-74.2001946,on boarding,B2B,
11485,4.5692084,-74.0945595,on boarding,B2B,
11595,4.6236527,-74.1192075,on boarding,B2B,
11702,4.6718360,-74.0786420,on boarding,B2B,
12647,4.6599418,-74.0620166,on boarding,B2B,
11809,4.7450591,-74.1092103,on boarding,B2C,
13373,4.6282039,-74.1973019,on boarding,B2B,
13471,4.6787216,-74.1521955,on boarding,B2B,
899,0.0000000,0.0000000,on boarding,B2B,
12211,4.7441611,-74.1231274,on boarding,B2B,
10588,4.6481633,-74.0577668,on boarding,B2B,
13510,4.6177505,-74.0666197,on boarding,B2B,
816,0.0000000,0.0000000,on boarding,B2B,
13629,4.7133855,-74.1011301,on boarding,B2B,
11590,4.6532721,-74.0641530,on boarding,B2B,
20024,4.5547610,-74.1474195,churn,B2B,2715645.15
11083,4.6859830,-74.0610873,on boarding,B2B,
10759,4.6572270,-74.0672110,churn,B2B,1256647.1400000001
10222,4.7145516,-74.1191269,safe,B2B,5921462.353548381
563,0.0000000,0.0000000,on boarding,B2B,
12358,4.5511971,-74.0994148,on boarding,B2B,
16272,4.5918324,-74.1756168,on boarding,B2B,
13203,4.6262216,-74.1225760,on boarding,B2B,
