RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE
AIR MATERIAIS PARA CONSTRUCAO LTDA,779000145,"AVENIDA JUCELINO K DE OLIVEIRA  312 , JUQUITIBA",-23.9328525,-47.0690692,JUQUITIBA
ETTORE TECNOLOGIA EM DRYWALL E DECORACOES EIRELI,1082000199,"RUA PRESIDENTE BATISTA PEREIRA  111 , SAO PAULO",-23.5677812,-46.6071416,SAO PAULO
STILL MARCENARIA LTDA,1599000188,"RUA DOS SITIANTES  264 , SAO PAULO",-23.4904774,-46.6907327,SAO PAULO
MAIA MOREIRA COMERCIO DE TINTAS LTDA,2363000166,"ALAMEDA LORENA  814 , SAO PAULO",-23.5682639,-46.6608262,SAO PAULO
JAQUELINE GUERRA MATERIAIS DE CONSTRUCAO,2849000102,"AVENIDA SETE DE SETEMBRO  1253 , FRANCO DA ROCHA",-23.3214668,-46.7208295,FRANCO DA ROCHA
BRUCCON COMERCIO DE LAREIRAS E CHURRASQUEIRAS LTDA,2913000147,"AVENIDA GENERAL CHARLES DE GAULLE  497 , SAO PAULO",-23.5034862,-46.7364502,SAO PAULO
CICERO BATISTA SOARES,3272000145,"RUA CONSELHEIRO FURTADO  1067 , SAO PAULO",-23.5624346,-46.6324497,SAO PAULO
DEPOSITO DE MATERIAIS PARA CONSTRUCAO VILA SAO PAULO LTDA,3405000183,"RUA WANDER DUCCINI  81 , FERRAZ DE VASCONCELOS",-23.5560073,-46.3691192,FERRAZ DE VASCONCELOS
LILIANA LIGORI FIGUEIREDO,4190000115,"RUA VERGUEIRO  6287 , SAO PAULO",-23.6009224,-46.615189,SAO PAULO
RIMASI COMERCIO DE MADEIRAS LTDA,4946000126,"RUA INCONFIDENCIA MINEIRA  1021 , SAO PAULO",-23.576523,-46.5162996,SAO PAULO
HIRO COMERCIO DE FERRAGENS LTDA,5169000134,"AVENIDA MATEO BEI  3096 , SAO PAULO",-23.6080246,-46.4785801,SAO PAULO
ROBERTO VAZ SERRALHERIA,5684000114,"RUA SEBASTIAO DA BARRA  4 , SAO PAULO",-23.8249326,-46.7237313,SAO PAULO
RIMAFER COMERCIO DE FERRAGENS E FERRAMENTAS LTDA,5803000139,"RUA FLORENCIO DE ABREU  654 , SAO PAULO",-23.538297,-46.6328487,SAO PAULO
FERRAGENS NAGAHAMA LTDA,5809000106,"PRACA HAROLDO DALTRO  38 , SAO PAULO",-23.5491447,-46.5334586,SAO PAULO
SANTA ROSA SHOPPING DAS TINTAS E MATERIAIS DE CONSTRUCAO  EIRELI,5947000195,"AVENIDA AMADOR BUENO DA VEIGA  1066 , SAO PAULO",-23.5237948,-46.5344477,SAO PAULO
ESQUADRIAS DE MADEIRAS SAO JOSE LTDA,6055000109,"RUA OLIMPIA  47 , ITAQUAQUECETUBA",-23.4829769,-46.3562031,ITAQUAQUECETUBA
OHM COMERCIO DE MATERIAIS HIDRAULICOS E ELETRICOS LTDA,6298000147,"AVENIDA NOVA INDEPENDENCIA  333 , SAO PAULO",-23.6051618,-46.6917303,SAO PAULO
FERRAGENS CARMOSINA LTDA,7154000105,"RUA SAO TEODORO  528 , SAO PAULO",-23.5541762,-46.4554642,SAO PAULO
ALFA SP COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,7322000162,"RUA EDSON PEREGRINI  SN , SAO PAULO",-23.4829997,-46.6749388,SAO PAULO
UNIAO SBCAMPODEPOSITO DE MATPARA CONSTRUCAO LTDA,7616000194,"RUA PERY RONCHETTI  1600 , SAO BERNARDO DO CAMPO",-23.7050405,-46.5377207,SAO BERNARDO DO CAMPO
SERVICOS & INSTALACOES ALVES LTDA,7618000183,"RUA JANUARIO DOS SANTOS  65 , SAO PAULO",-23.4760749,-46.7049676,SAO PAULO
AQUARUM COMERCIO DE MATERIAIS PARA CONSTRUCOES LTDA,7900000160,"RUA AGARUM  SN , SAO PAULO",-23.6273246,-46.6565842,SAO PAULO
CENTER OLINDA MATERIAIS PARA CONSTRUCAO EIRELI,8495000103,"RUA CLARETIANA  205 , SAO PAULO",-23.6300026,-46.7544802,SAO PAULO
JULIA MARIA MATERIAIS PARA CONSTRUCAO LTDA,9182000161,"RUA PIMENTA BUENO  431 , SAO PAULO",-23.5402503,-46.587124,SAO PAULO
QUALY VIDROS LTDA,11207000161,"RUA PETROLINA MARIA DUTRA  114 , SAO BERNARDO DO CAMPO",-23.7297512,-46.5354156,SAO BERNARDO DO CAMPO
CB CORES COMERCIO DE TINTAS E FERRAMENTAS LTDA,12949000101,"AVENIDA MARIA SERVIDEI DEMARCHI  1756 , SAO BERNARDO DO CAMPO",-23.7396495,-46.5541364,SAO BERNARDO DO CAMPO
CHAVEIRO TAMBORE LTDA,13363000161,"RUA DA PRATA  1066 , BARUERI",-23.5001615,-46.8637335,BARUERI
CALHAS NORTE LTDA,13756000175,"RUA ALTO DA BELA VISTA  51 , SAO PAULO",-23.4724766,-46.590422,SAO PAULO
KIN FERRAGENS EM GERAL LTDA,15801000120,"RUA FRIBURGO  43 , SAO PAULO",-23.4762148,-46.6462332,SAO PAULO
GOMES & SANCHES COMERCIO DE MATERIAIS PARA CONSTRUCOES LTDA,19576000109,"RUA PIAUI  91 , SAO BERNARDO DO CAMPO",-23.7477305,-46.6160106,SAO BERNARDO DO CAMPO
COMERCIO DE TINTAS ASSEMBLEIA LTDA,20060000176,"AVENIDA ASSEMBLEIA  254 , DIADEMA",-23.6781917,-46.6300489,DIADEMA
COMERCIAL FERRAGENS SAO RAFAEL LTDA,20707000160,"AVENIDA BARONESA DE MURITIBA  836 , SAO PAULO",-23.6303549,-46.4701601,SAO PAULO
MMVC COMERCIO DE REVESTIMENTOS E DECORACOES LTDA,21058000111,"AVENIDA DAS CARINAS  380 , SAO PAULO",-23.6136052,-46.6666634,SAO PAULO
PAMPLONA SERVICOS DE INSTALACAO E MONTAGEM LTDA,21187000100,"RUA TUMIARU  385 , SANTO ANDRE",-23.6485831,-46.505913,SANTO ANDRE
VAREJAO DE FERRAGENS PENHA DE FRANCA LTDA,22005000115,"AVENIDA PENHA DE FRANCA  700 , SAO PAULO",-23.520499,-46.546473,SAO PAULO
REAL TOOLS COMERCIAL LTDA,22488000158,"RUA FLORENCIO DE ABREU  279 , SAO PAULO",-23.541645,-46.6330004,SAO PAULO
REAL TOOLS COMERCIAL LTDA,22488000158,"RUA FLORENCIO DE ABREU  279 , SAO PAULO",-23.541645,-46.6330004,SAO PAULO
CONSTRUDOMUS COM DE MAT DE HIDRAULICA E CONSTRUCAO LTDA,24568000142,"RUA PEDROSO DE MORAIS  1067 , SAO PAULO",-23.5614542,-46.693357,SAO PAULO
MADEIRAS E MATERIAIS PARA CONSTRUCAO TESTA DE PAU LTDA,24858000196,"RODOVIA INDIO TIBIRICA  2753 , RIBEIRAO PIRES",-23.6760119,-46.3510122,RIBEIRAO PIRES
HUSQY COM DE MAQUINAS AGRICOLAS LTDA,26378000164,"RUA HAYDEN  105 , SAO PAULO",-23.5296609,-46.7334683,SAO PAULO
MARIA MARLENE BRITES,26984000180,"AVENIDA CONCEICAO  3920 , SAO PAULO",-23.4951355,-46.579766,SAO PAULO
ANDREACO COMERCIO DE ACO FERRO E METAIS LTDA,27348000172,"RUA CABO OSCAR ROSSINI  922 , SAO PAULO",-23.5166229,-46.5702054,SAO PAULO
NIKEI COMERCIO DE FERRAGENS LTDA,27468000170,"AVENIDA EDU CHAVES  645 , SAO PAULO",-23.4732192,-46.5710109,SAO PAULO
"NEUMACON IMPORTACAO, COMERCIO E MANUTENCAO DE FERRAMENTAS LTDA",28367000113,"ALAMEDA CONDE DE P ALEGRE  1333 , SAO CAETANO DO SUL",-23.6376986,-46.5569924,SAO CAETANO DO SUL
THAGUETA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,29072000161,"RUA FRANCISCO OLANDIM  225 , SAO PAULO",-23.619406,-46.5858015,SAO PAULO
SPARFUSO COM DE PARAFUSOS E FERRAGENS LIMITADA,101636000120,"AVENIDA BOM PASTOR  327 , SANTO ANDRE",-23.6720526,-46.5527717,SANTO ANDRE
A M SILVA MATERIAIS PARA CONSTRUCAO LTDA,117362000167,"RUA SENADOR EDSON CAVALCANTI  19 , SAO BERNARDO DO CAMPO",-23.7296719,-46.5695599,SAO BERNARDO DO CAMPO
"FORMAFIX  RECICLADORA, COMERCIO E LOCACAO DE EQUIPAMENTOS EIRELI",119445000195,"RUA PROFESSOR APRIGIO GONZAGA  525 , SAO PAULO",-23.6244501,-46.6352821,SAO PAULO
UNIACO DISTRIBUIDORA DE FERRAGENS E FERRAMENTAS LTDA,127993000167,"RUA CLAUDIA  110A , SAO PAULO",-23.5211453,-46.526222,SAO PAULO
EXTRAMAD COMERCIO DE MADEIRAS LTDA,130980000147,"RUA GETULIO VARGAS  85 , RIO GRANDE DA SERRA",-23.7449393,-46.4016411,RIO GRANDE DA SERRA
JAFIP SISTEMA DE REVESTIMENTO ANTICORROSAO LTDA,139672000182,"ESTRADA DE SAPOPEMBA  2202 , RIBEIRAO PIRES",-23.650509,-46.377959,RIBEIRAO PIRES
COMERCIAL GONCALVES MADEIRAS E MATERIAIS DE CONSTRUCAO EIRELI,140074000123,"RUA CAIUBI  134 , SANTO ANDRE",-23.6825263,-46.5411392,SANTO ANDRE
JOAQUIM FERRARIAS NETO,141884000102,"RUA ALFREDO DO VALE CABRAL  26 B , SAO PAULO",-23.5458326,-46.5534794,SAO PAULO
SOLPEDRAS SERVICOS E COMERCIO DE PEDRAS LTDA,142523000172,"AVENIDA NOVO OSASCO  SN , OSASCO",-23.5657585,-46.7879289,OSASCO
A CORDEIRO FERRAMENTAS COMERCIO E IMPORTACAO LTDA,150608000100,"RUA FLORENCIO DE ABREU  636 , SAO PAULO",-23.5384301,-46.632873,SAO PAULO
N TINTAS COMERCIO DE TINTAS LTDA,152006000184,"RUA CLAUDINO ALVES  104 , SAO PAULO",-23.5001741,-46.6172041,SAO PAULO
ARCO & TETO ARQUITETURA E CONSTRUCAO LTDA,153048000130,"AVENIDA HENRIQUETA MENDES GUERRA  22 , BARUERI",-23.5109655,-46.8752806,BARUERI
HM PARAFUSOS E ACESSORIOS INDUSTRIAIS LTDA,156268000117,"AVENIDA FRANCISCO FERREIRA LOPES  2493 , MOGI DAS CRUZES",-23.5369455,-46.2225674,MOGI DAS CRUZES
HM PARAFUSOS E ACESSORIOS INDUSTRIAIS LTDA,156268000206,"AVENIDA FRANCISCO RODRIGUES FILHO  484 , MOGI DAS CRUZES",-23.5178727,-46.1921416,MOGI DAS CRUZES
J SAMPAIO SUBRINHO,157981000185,"RUA DAS FLORES  372 , ITAQUAQUECETUBA",-23.4763633,-46.3218257,ITAQUAQUECETUBA
COMERCIO DE MATER P CONSTRUCAO PQ SAO PAULO LTDA,159643000182,"RUA RUA PELAGIA STARBULOV  39 , SAO PAULO",-23.7464755,-46.6892764,SAO PAULO
MLC ALENCAR,162315000135,"AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS  3300 , SAO PAULO",-23.7572501,-46.6949267,SAO PAULO
ELETRICA IPOJUCA LTDA,164276000105,"RUA TONELERO  1034 , SAO PAULO",-23.5366954,-46.7059043,SAO PAULO
UNIBEL MADEIRAS E FERRAGENS LTDA,164869000171,"AVENIDA DAS BELEZAS  585 , SAO PAULO",-23.6414606,-46.7444856,SAO PAULO
J&J ARTESANATO DE METAIS LTDA,164940000116,"AVENIDA ANCHIETA  805 , MOGI DAS CRUZES",-23.5379305,-46.2291712,MOGI DAS CRUZES
JOAO ALONSO BURANELLO,169150000123,"RUA ARLINDO MARCHETTI  290 , SAO CAETANO DO SUL",-23.6395414,-46.5546911,SAO CAETANO DO SUL
MIRAI COMERCIO DE FERRAGENS E MAT PCONSTRUCAO LTDA,170255000100,"RUA FENICIA  508 , SANTO ANDRE",-23.63087,-46.4985529,SANTO ANDRE
RUBENS APARECIDO ANTONIO,174783000120,"AVENIDA NOVE DE JULHO  2130 , JUNDIAI",-23.1946479,-46.8895753,JUNDIAI
ARGAJU COMERCIO DE AREIA E PEDRA LTDA,176627000106,"RUA PIXINGUINHA  320 , SAO PAULO",-23.5890745,-46.7711465,SAO PAULO
AUTO LAR COMERCIAL LTDA,178936000107,"AVENIDA SAO PAULO  335 , SANTO ANDRE",-23.6674285,-46.4891745,SANTO ANDRE
EIFFEL COM VAREJISTA DE MATS PCONSTRUCAO LTDA,186414000157,"RUA AMADEU MASSAROTO  343 , SAO PAULO",-23.6096513,-46.4898139,SAO PAULO
TINTAS CLAUDIA LTDA,190482000190,"AVENIDA JARDIM JAPAO  385 , SAO PAULO",-23.4869373,-46.5778373,SAO PAULO
LUIS JAEN SOATI 08507065805,196025000102,"RUA WOLSTEIN  78 , SAO PAULO",-23.5196229,-46.5148142,SAO PAULO
