,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
1,ETTORE TECNOLOGIA EM DRYWALL E DECORACOES EIRELI,1082000199,"RUA PRESIDENTE BATISTA PEREIRA  111 , SAO PAULO",-23.5677812,-46.6071416,SAO PAULO,1
2,STILL MARCENARIA LTDA,1599000188,"RUA DOS SITIANTES  264 , SAO PAULO",-23.4904774,-46.6907327,SAO PAULO,2
3,MAIA MOREIRA COMERCIO DE TINTAS LTDA,2363000166,"ALAMEDA LORENA  814 , SAO PAULO",-23.5682639,-46.6608262,SAO PAULO,1
4,JAQUELINE GUERRA MATERIAIS DE CONSTRUCAO,2849000102,"AVENIDA SETE DE SETEMBRO  1253 , FRANCO DA ROCHA",-23.3214668,-46.7208295,FRANCO DA ROCHA,4
5,BRUCCON COMERCIO DE LAREIRAS E CHURRASQUEIRAS LTDA,2913000147,"AVENIDA GENERAL CHARLES DE GAULLE  497 , SAO PAULO",-23.5034862,-46.7364502,SAO PAULO,2
6,CICERO BATISTA SOARES,3272000145,"RUA CONSELHEIRO FURTADO  1067 , SAO PAULO",-23.5624346,-46.6324497,SAO PAULO,1
7,DEPOSITO DE MATERIAIS PARA CONSTRUCAO VILA SAO PAULO LTDA,3405000183,"RUA WANDER DUCCINI  81 , FERRAZ DE VASCONCELOS",-23.5560073,-46.3691192,FERRAZ DE VASCONCELOS,4
8,LILIANA LIGORI FIGUEIREDO,4190000115,"RUA VERGUEIRO  6287 , SAO PAULO",-23.6009224,-46.615189,SAO PAULO,1
9,RIMASI COMERCIO DE MADEIRAS LTDA,4946000126,"RUA INCONFIDENCIA MINEIRA  1021 , SAO PAULO",-23.576523,-46.5162996,SAO PAULO,2
10,HIRO COMERCIO DE FERRAGENS LTDA,5169000134,"AVENIDA MATEO BEI  3096 , SAO PAULO",-23.6080246,-46.4785801,SAO PAULO,3
12,RIMAFER COMERCIO DE FERRAGENS E FERRAMENTAS LTDA,5803000139,"RUA FLORENCIO DE ABREU  654 , SAO PAULO",-23.538297,-46.6328487,SAO PAULO,1
13,FERRAGENS NAGAHAMA LTDA,5809000106,"PRACA HAROLDO DALTRO  38 , SAO PAULO",-23.5491447,-46.5334586,SAO PAULO,2
14,SANTA ROSA SHOPPING DAS TINTAS E MATERIAIS DE CONSTRUCAO  EIRELI,5947000195,"AVENIDA AMADOR BUENO DA VEIGA  1066 , SAO PAULO",-23.5237948,-46.5344477,SAO PAULO,2
15,ESQUADRIAS DE MADEIRAS SAO JOSE LTDA,6055000109,"RUA OLIMPIA  47 , ITAQUAQUECETUBA",-23.4829769,-46.3562031,ITAQUAQUECETUBA,4
16,OHM COMERCIO DE MATERIAIS HIDRAULICOS E ELETRICOS LTDA,6298000147,"AVENIDA NOVA INDEPENDENCIA  333 , SAO PAULO",-23.6051618,-46.6917303,SAO PAULO,2
17,FERRAGENS CARMOSINA LTDA,7154000105,"RUA SAO TEODORO  528 , SAO PAULO",-23.5541762,-46.4554642,SAO PAULO,3
18,ALFA SP COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,7322000162,"RUA EDSON PEREGRINI  SN , SAO PAULO",-23.4829997,-46.6749388,SAO PAULO,1
