lat,lng
10.99,-74.84
10.97,-74.80
10.94,-74.83
10.91,-74.81
10.87,-74.78
10.92,-74.81
10.87,-74.77
10.94,-74.77
10.88,-74.80
10.87,-74.79
10.99,-74.77
10.89,-74.82
10.83,-74.77
10.99,-74.81
10.91,-74.76
10.92,-74.86
11.04,0.00
11.00,-74.93
11.01,-74.81
11.01,-74.82
10.96,-74.81
10.96,-74.82
10.95,-74.79
10.96,-74.83
10.92,-74.80
10.91,-74.79
10.93,-74.76
10.93,-74.82
10.80,-74.91
10.93,-74.78
10.99,-74.82
11.02,-74.82
10.89,-74.80
10.90,-74.82
10.97,-74.86
11.01,-74.79
10.95,-74.85
10.79,-74.92
10.84,-74.92
10.65,-74.76
10.98,-74.80
10.98,-74.84
10.92,-74.82
10.94,-74.80
10.93,-74.80
10.93,-74.77
10.96,-74.80
10.90,-74.88
10.93,-74.85
10.96,-74.87
11.02,0.00
10.91,-74.88
11.00,-74.79
10.92,-74.87
10.90,-74.81
10.87,-74.98
10.92,-74.78
11.03,-74.81
10.88,-74.77
10.99,0.00
10.25,-74.91
10.88,-74.81
11.04,-74.87
11.00,-74.82
10.91,-74.80
10.98,-74.78
10.98,-74.82
10.99,-74.96
10.96,-74.86
10.96,-74.78
10.91,0.00
11.02,-74.87
10.81,-74.91
10.90,-74.80
10.86,-74.78
10.95,-74.82
10.97,-74.79
10.85,-74.78
10.76,-74.75
10.91,-74.82
10.97,-74.87
10.75,-74.75
10.89,-75.05
10.78,-74.85
11.00,-74.81
10.34,-74.88
10.99,-74.83
10.92,-74.79
10.95,-74.78
10.84,-74.77
10.97,-74.84
10.97,-74.83
10.99,-74.78
10.98,-74.85
11.04,-74.82
10.78,-74.86
10.95,0.00
10.89,-74.81
10.96,-74.85
11.01,-74.93
10.93,-74.83
10.92,-74.76
10.83,-74.90
10.64,-74.76
10.94,-74.79
10.46,-74.83
10.95,-74.81
10.90,-74.79
10.63,-74.92
11.01,-74.83
10.89,-74.79
10.98,-74.83
10.90,-74.78
10.38,-74.88
10.88,-74.79
11.00,-74.84
11.03,-74.80
10.83,-75.03
10.85,-74.79
10.94,-74.84
10.85,-74.80
10.97,-74.77
10.51,-74.81
10.94,-74.78
10.99,-74.79
10.99,-74.80
10.92,-74.77
10.91,-74.78
10.93,-74.81
11.02,-74.81
10.96,-74.77
11.03,-74.86
10.95,-74.80
10.96,-74.84
10.85,-75.01
11.00,-74.78
10.95,-74.77
11.00,-74.83
10.64,-74.75
10.79,-74.76
11.00,-74.80
10.80,-74.75
10.96,-74.79
10.93,-74.86
10.98,-74.81
10.90,0.00
10.96,0.00
10.97,-74.82
10.97,-74.81
11.00,-74.95
11.01,-74.84
11.03,-74.83
10.74,-74.76
10.85,-74.77
10.97,-74.78
10.93,-74.79
10.98,-74.79
10.93,0.00
10.94,-74.82
10.95,-74.83
10.80,-74.93
10.99,-74.95
10.92,0.00
10.94,-74.81
10.64,-74.93
10.97,0.00
10.79,-74.91
10.86,-74.77
10.64,-74.92
10.96,-74.89
10.91,-74.77
11.01,-74.80
11.02,-74.80
10.89,-74.89
11.03,-74.87
10.95,-74.76
10.26,-74.91
10.99,-74.85
