lat,lng
7.07,-73.17
6.99,-73.04
6.90,-73.04
7.00,-73.05
7.11,0.00
7.08,-73.08
6.70,-72.72
7.01,-73.06
7.12,-73.14
7.10,-73.14
7.10,-73.16
7.09,-73.16
7.10,0.00
6.97,-73.09
7.06,-73.11
7.09,-73.13
7.13,-73.12
7.08,-73.10
7.09,-73.09
7.19,-73.30
7.11,-73.12
6.78,-73.09
7.09,-73.17
7.13,-73.10
6.98,-73.05
7.14,-73.13
6.29,-73.15
7.08,-73.11
7.34,-72.99
7.14,-73.14
7.35,-73.90
7.10,-73.17
6.47,-73.26
6.97,-73.17
6.87,-73.06
7.34,-73.91
7.48,-73.93
7.07,-73.15
7.07,-73.14
6.95,-71.87
7.48,-73.92
7.39,-73.50
7.08,-73.12
7.12,0.00
7.06,-73.17
7.12,-73.11
7.07,-73.16
7.96,-74.05
7.05,0.00
7.02,-73.06
7.16,-73.16
7.40,-73.49
8.23,-73.35
6.86,-73.06
6.80,-71.77
6.97,0.00
7.05,-73.17
7.09,-73.10
7.13,-73.11
7.15,-73.14
7.09,-73.12
7.07,-73.11
7.07,-73.09
6.98,-73.15
6.88,-73.06
7.07,-73.12
7.03,-73.16
7.06,-73.09
7.10,-73.13
5.93,-73.62
7.35,-73.89
7.16,-73.13
7.00,-73.08
7.15,-73.20
4.63,-74.09
7.12,-73.10
8.47,-74.54
7.06,-73.87
7.08,-73.84
7.06,-73.16
7.12,-73.12
7.10,-73.12
7.06,-73.86
7.26,-73.15
6.98,-73.17
7.01,-73.13
7.15,-73.15
7.12,-73.22
6.79,-71.77
7.03,-73.12
7.16,-73.14
7.13,-73.13
7.08,-73.09
7.04,-73.07
7.11,-73.14
7.15,-73.13
6.97,-73.05
7.11,-73.11
6.99,-73.08
6.85,-73.07
7.00,-73.06
7.27,-73.15
7.07,-73.85
6.97,-73.06
7.21,-73.16
4.07,-73.59
7.47,-73.20
7.10,-73.09
6.55,-73.14
6.99,-73.07
7.06,0.00
6.95,-73.03
6.64,-73.65
7.12,-73.13
7.11,-73.13
6.99,-73.05
7.06,-73.08
7.14,-73.12
7.08,-73.13
7.38,-73.92
7.10,-73.11
7.01,-73.10
7.06,-73.10
6.27,-73.15
7.08,-73.15
6.83,-73.08
7.15,-73.12
7.11,-73.18
7.95,-74.01
6.56,-73.14
7.09,-73.11
7.11,-73.22
7.08,-73.17
7.11,-73.21
8.30,-73.62
6.99,-73.06
7.07,-73.10
7.47,-73.93
7.10,-73.10
6.48,-72.50
6.55,-73.13
6.27,-73.30
7.08,-73.18
7.47,-73.92
6.99,0.00
7.07,0.00
