lat,lng
3.42,-76.56
3.26,-76.54
3.45,-76.53
3.36,-76.55
3.40,0.00
3.38,-76.53
3.48,-76.51
3.49,-76.50
3.42,-76.50
4.62,-74.09
4.58,-74.13
3.59,-76.49
4.73,-75.91
3.39,-76.52
4.77,-74.04
3.40,-76.51
3.43,-76.46
4.74,-74.03
0.00,0.00
3.45,-76.57
4.07,-76.20
3.39,-76.39
3.26,-76.58
3.45,-76.58
3.43,0.00
3.42,-76.51
3.23,-76.42
3.41,-76.52
3.45,-76.52
3.46,-76.48
3.34,-76.52
3.42,-76.53
3.38,-76.52
3.24,-76.42
3.45,-76.55
3.47,-76.56
3.40,-76.57
3.47,-76.52
3.51,-76.52
3.50,-76.49
3.41,-76.54
3.56,-76.49
3.49,-76.51
4.59,-74.13
3.25,-76.57
4.72,-74.06
3.44,0.00
3.36,-76.54
3.66,-76.69
3.25,-76.58
3.50,-76.47
3.41,-76.50
3.45,-76.48
3.47,-76.50
3.44,-76.48
3.44,-76.50
3.58,-76.50
3.50,-76.52
3.43,-76.51
3.40,-76.46
3.44,-76.55
3.49,-76.48
3.39,-76.56
4.72,-74.05
3.41,-76.41
4.68,-74.07
3.57,-76.48
3.37,-76.55
3.40,-76.54
3.40,-76.45
3.42,-76.46
3.23,-76.52
3.40,-76.38
4.69,-74.09
3.23,-76.41
3.47,-76.39
4.76,-74.03
3.58,-76.63
3.58,0.00
3.47,0.00
3.41,-76.46
3.42,-76.54
3.44,-76.47
3.46,-76.52
3.46,-76.53
3.48,-76.55
3.48,-76.50
3.46,-76.49
3.38,-76.54
3.43,-76.48
3.41,-76.51
3.31,-76.49
3.24,-76.50
4.59,-74.10
4.69,-74.06
4.68,-74.09
3.38,-76.55
3.40,-76.50
3.41,-76.49
3.41,-76.55
3.38,-76.51
3.39,-76.54
3.37,-76.54
3.52,-76.30
3.80,-76.64
3.56,-76.61
3.24,-76.55
4.56,-74.13
4.08,-76.19
3.44,-76.46
3.41,-76.45
3.49,-76.52
3.54,-76.30
4.76,-74.04
3.54,-76.51
3.46,-76.47
4.68,-74.06
3.56,-76.30
7.09,-73.12
4.62,-74.11
3.53,-76.30
3.49,-76.49
3.45,-76.49
3.41,-76.53
3.44,-76.54
3.41,-76.47
3.43,-76.47
3.42,-76.47
3.42,-76.55
3.40,-76.56
3.41,-76.56
3.46,-76.51
3.51,-76.30
3.57,-76.65
3.43,-76.55
3.46,-76.54
3.54,-76.50
3.54,-76.29
3.41,-76.34
4.67,-74.08
3.47,-76.49
4.57,-74.12
3.37,-76.56
3.40,-76.52
3.46,-76.50
3.50,-76.31
3.22,-76.51
3.31,-76.52
3.53,-76.28
4.56,-74.11
3.56,-76.29
3.46,-76.46
3.36,-76.52
3.66,-76.29
4.69,-74.07
3.50,-76.55
3.32,-76.51
4.70,-74.06
4.67,-74.11
3.49,0.00
3.44,-76.52
3.45,-76.51
3.35,-76.54
3.42,-76.49
3.41,-76.35
4.66,-74.07
4.61,-74.09
3.48,-76.49
3.50,-76.50
3.26,-76.53
3.25,-76.54
3.55,-76.49
3.39,0.00
3.44,-76.56
3.59,-76.51
3.61,-76.39
4.59,-74.12
3.44,-76.53
3.45,-76.56
3.43,-76.49
3.44,-76.51
3.37,-76.53
3.53,-76.29
3.49,-76.53
3.23,-76.51
3.51,-76.51
3.47,-76.48
3.44,-76.49
3.48,0.00
3.47,-76.51
3.43,-76.54
3.58,-76.49
3.39,-76.55
3.23,-76.56
3.35,-76.53
4.67,-74.10
3.35,-76.52
3.47,-76.53
3.59,-76.50
3.37,-76.52
3.48,-76.52
3.52,-76.29
3.27,-76.54
3.60,-76.48
4.70,-74.03
3.54,-76.31
3.55,-76.30
3.41,-76.39
4.59,-74.09
4.72,-74.07
3.43,-76.52
3.40,-76.53
3.43,-76.53
3.43,-76.50
3.45,-76.54
3.42,-76.52
3.48,-76.53
3.40,-76.55
3.56,-76.50
3.39,-76.51
3.24,-76.51
3.48,-76.48
3.39,-76.53
3.40,-76.39
3.46,-76.55
4.68,-74.10
3.26,-76.55
4.67,-74.02
3.45,-76.50
3.42,-76.48
3.24,-76.52
3.38,-76.56
3.42,-76.57
4.58,-74.12
3.25,-76.56
3.58,-76.62
