,0
0,89662209e47ffff
1,89662209e77ffff
2,89662209a8fffff
3,89662209e1bffff
4,89662209e2bffff
5,89662246d87ffff
6,89662246d8fffff
7,89662209e73ffff
8,89662246dabffff
9,89662209e6fffff
10,89662209e43ffff
11,89662209e23ffff
12,89662209a57ffff
13,89662246d83ffff
14,89662209a03ffff
15,89662246da3ffff
16,89662209e6bffff
17,89662209ac3ffff
18,89662209e37ffff
19,89662209e63ffff
20,89662209843ffff
21,89662209e57ffff
22,89662209e3bffff
23,89662246d97ffff
24,89662209acbffff
25,89662209e03ffff
26,89662209ec3ffff
27,89662209a53ffff
28,89662246d37ffff
29,89662209a1bffff
30,8966220984bffff
31,89662209ed7ffff
32,89662209327ffff
33,89662209ec7ffff
34,89662246d9bffff
35,8966220932bffff
36,89662209a83ffff
37,89662209adbffff
38,89662209ad7ffff
39,89662209a17ffff
40,89662246d8bffff
41,89662209a97ffff
42,89662209ecbffff
43,8966220932fffff
44,89662209853ffff
45,89662209e9bffff
46,89662209e53ffff
47,89662209a87ffff
48,89662246dbbffff
49,89662246db3ffff
50,89662209ecfffff
51,89662209ad3ffff
52,89662209e4bffff
53,89662209a8bffff
54,89662209e0bffff
55,89662246d13ffff
56,89662246da7ffff
57,89662209367ffff
58,89662246db7ffff
59,896622098cbffff
60,89662246d93ffff
61,89662246d27ffff
62,89662246dd7ffff
63,89662246d17ffff
64,89662209a9bffff
65,8966220985bffff
66,89662209a13ffff
67,89662209e7bffff
68,89662246dd3ffff
69,89662209e67ffff
70,896622098dbffff
71,89662209e0fffff
72,89662209e5bffff
73,89662209ac7ffff
74,89662209e27ffff
75,89662209323ffff
76,89662246dafffff
77,89662209e4fffff
78,89662209acfffff
79,89662209e07ffff
80,8966220936fffff
81,89662209337ffff
82,89662209e2fffff
83,89662209e8bffff
84,89662209a93ffff
85,89662209e33ffff
86,89662209e13ffff
87,89662209813ffff
88,89662209c33ffff
89,89662209c0fffff
90,89662209857ffff
91,896622098c7ffff
92,896622098abffff
93,8966220989bffff
94,89662209c23ffff
95,89662209c07ffff
96,89662209c3bffff
97,896622098c3ffff
98,8966220988bffff
99,89662209c2bffff
100,89662209897ffff
101,896622098cfffff
102,89662209c63ffff
103,89662209893ffff
104,89662209883ffff
105,896622098bbffff
106,89662209817ffff
107,896622098d7ffff
108,89662209c77ffff
109,89662209887ffff
110,89662209c73ffff
111,89662209c6fffff
112,89662209c2fffff
113,89662209803ffff
114,8966220981bffff
115,896622098d3ffff
116,89662209c67ffff
117,89662209c17ffff
118,8966220988fffff
119,89662209c03ffff
120,8966220822fffff
121,89662209e83ffff
122,89662209c4bffff
123,89662208277ffff
124,89662209cc7ffff
125,8966220912fffff
126,89662209eb7ffff
127,89662209c83ffff
128,89662209c5bffff
129,89662209cc3ffff
130,89662209c7bffff
131,89662209e93ffff
132,89662209ea3ffff
133,8966220826fffff
134,89662209e17ffff
135,89662209eabffff
136,89662209ccbffff
137,89662209ea7ffff
138,89662209c13ffff
139,89662208223ffff
140,89662209c93ffff
141,89662209c0bffff
142,89662209ccfffff
143,89662209c8fffff
144,89662209e87ffff
145,89662209c4fffff
146,89662209c47ffff
147,89662208233ffff
148,89662209eb3ffff
149,89662209cd7ffff
150,89662209c8bffff
151,89662208237ffff
152,8966220823bffff
153,89662209c43ffff
154,89662209c6bffff
155,896622082afffff
156,89662208267ffff
157,89662209c1bffff
158,89662209c53ffff
159,8966220822bffff
160,89662209eafffff
161,89662209e97ffff
162,89662209ebbffff
163,89662209c57ffff
164,89662209c9bffff
165,89662209e8fffff
166,896622083cbffff
167,89662209dcfffff
168,89662209ca7ffff
169,89662209dd7ffff
170,89662209dcbffff
171,89662209cb7ffff
172,89662208343ffff
173,89662209c37ffff
174,8966220831bffff
175,8966220835bffff
176,896622083d7ffff
177,89662209d4bffff
178,8966220830bffff
179,89662209d9bffff
180,89662209d8bffff
181,896622083cfffff
182,89662208377ffff
183,896622083dbffff
184,896622083c3ffff
185,89662209c27ffff
186,89662208373ffff
187,896622098b3ffff
188,8966220837bffff
189,8966220834fffff
190,89662209c97ffff
191,8966220836fffff
192,89662209d53ffff
193,89662208353ffff
194,896622083c7ffff
195,89662209cabffff
196,89662208367ffff
197,89662208347ffff
198,89662209dd3ffff
199,89662209c87ffff
