lat,lng
0.00,0.00
4.58,-74.13
4.74,-74.03
4.70,-74.13
4.57,-74.24
4.58,-74.25
4.57,-74.15
4.71,-74.12
4.77,-74.04
4.74,-74.11
4.74,-74.13
4.76,-74.11
4.56,-74.10
4.51,-74.11
4.55,-74.17
4.54,-74.16
4.57,-74.19
4.57,-74.08
4.70,-74.11
4.53,-74.16
4.74,-74.27
4.59,-74.08
4.69,-74.18
4.73,-74.27
4.72,-74.10
4.74,-74.10
4.60,-74.11
4.67,-74.06
4.76,-74.08
4.62,-74.09
4.54,-74.08
4.59,-74.15
4.85,-74.06
4.71,-74.15
4.91,-73.94
4.55,-74.10
4.60,-74.19
4.60,-74.17
4.60,-74.08
4.62,-74.08
4.70,-74.18
4.50,-74.11
4.72,-74.11
4.74,-74.06
4.87,-74.15
5.03,-74.01
4.54,-74.11
4.65,-74.11
4.53,-74.17
4.82,-74.22
4.64,-74.11
4.60,-74.15
4.72,-74.22
4.87,-74.14
4.75,-74.02
4.56,-74.18
4.73,-74.25
4.91,-74.03
4.96,-74.43
4.73,-74.08
4.88,-74.06
5.09,-74.61
4.62,0.00
4.70,-74.20
4.64,-74.12
4.95,-73.94
4.48,-74.10
-2.89,-69.74
4.57,-74.25
3.42,-76.56
4.71,-73.97
4.81,-74.22
3.45,-76.53
4.88,-74.14
4.99,-74.03
3.38,-76.53
3.68,-76.30
4.91,-74.02
5.19,-73.15
4.65,-74.17
4.66,-74.06
4.66,-74.10
4.75,-74.05
4.56,-74.15
4.59,-74.13
4.72,-74.03
4.77,-74.03
4.71,-74.13
4.54,-74.14
4.63,-74.15
4.59,-74.07
4.63,-74.06
4.72,-74.23
4.59,-74.20
4.62,-74.13
4.60,-74.12
4.49,-74.10
5.01,-74.47
4.67,-74.07
5.00,-74.47
4.72,-74.13
5.02,-73.97
4.72,-74.06
4.71,-74.06
5.03,-73.99
4.58,-74.08
4.64,-74.13
4.82,-74.23
4.65,-74.16
4.69,-74.03
4.59,-74.21
4.93,-74.17
5.00,-74.34
4.53,-74.15
4.71,-74.10
4.57,-74.10
4.72,-73.97
4.75,-74.03
4.56,-74.21
4.85,-74.26
4.89,-74.03
5.03,-74.03
4.76,-74.06
4.63,-74.14
4.51,-74.10
4.56,-74.19
4.50,-74.12
5.04,-73.96
4.68,-74.17
4.57,0.00
4.81,-74.21
4.58,0.00
4.64,-74.09
4.93,-74.02
4.94,-73.96
4.86,-74.14
4.50,-74.09
4.87,-74.04
4.69,-74.05
4.59,-74.11
4.73,-74.03
4.75,-74.04
4.74,0.00
4.69,0.00
4.76,-74.03
4.65,-74.08
4.65,-74.10
4.54,-74.09
4.63,-74.08
4.69,-74.12
4.55,-74.14
4.69,-74.11
4.81,-74.35
4.63,-74.20
4.61,-74.18
4.63,-74.21
4.58,-74.15
4.70,-74.10
4.67,-74.13
4.63,-74.07
5.21,-74.74
4.69,-74.20
4.61,-74.12
4.58,-74.17
4.71,-74.03
4.67,0.00
5.16,-73.80
4.72,-74.14
4.65,-74.13
4.61,-74.23
4.61,-74.22
5.61,-73.82
4.97,-73.91
4.96,-73.91
4.63,0.00
4.66,-74.11
4.62,-74.17
4.63,-74.16
4.71,-74.21
4.74,-74.26
4.59,-74.17
4.68,-74.07
4.69,-74.09
4.72,-74.05
4.71,-74.05
4.73,-74.11
4.58,-74.10
4.56,-74.07
4.74,-74.07
4.69,-74.04
4.56,-74.16
4.72,0.00
4.68,-74.08
4.63,-74.19
4.74,-74.08
4.72,-73.96
4.92,-74.04
4.71,0.00
5.02,-74.01
4.75,-74.13
4.59,0.00
5.01,-73.99
4.76,-74.07
4.76,0.00
4.82,-74.10
4.57,-74.30
4.94,-74.31
4.79,-74.05
4.66,-74.17
4.70,-74.05
4.63,-74.18
4.52,-74.12
4.58,-74.11
4.70,-74.12
4.72,-74.12
4.73,-74.02
4.56,-74.14
4.53,-74.09
4.67,-74.12
4.82,-74.36
4.55,-74.15
4.59,-74.10
4.69,-74.10
4.56,-74.08
4.55,-74.08
4.60,-74.09
4.71,-74.23
4.56,-74.13
4.62,-74.11
4.69,-74.06
4.57,-74.16
4.74,-74.09
4.64,-74.20
4.68,-74.04
4.70,-74.08
4.98,-74.29
4.69,-74.16
4.87,-74.05
4.63,-74.09
4.57,-74.14
4.58,-74.07
4.84,-74.08
4.67,-74.09
4.76,-74.04
4.54,-74.12
4.85,-74.27
4.58,-74.09
4.62,-74.16
4.68,-74.06
4.76,-74.05
4.58,-74.16
4.68,-74.09
4.70,-74.04
4.82,-74.35
4.54,-74.17
4.72,-74.08
4.75,-74.08
4.50,-74.26
4.72,-74.04
4.68,-74.16
4.75,-74.09
4.67,-74.04
4.73,0.00
4.91,-74.42
4.33,-74.36
4.85,0.00
4.55,-74.41
4.96,-73.93
5.03,-73.98
4.96,-73.94
4.76,-74.38
4.90,-73.94
4.45,-74.14
4.57,-74.12
4.73,-74.04
4.71,-74.11
4.78,-74.32
4.64,-74.16
4.58,-74.20
4.67,-74.11
4.62,-74.19
4.64,0.00
4.57,-74.09
4.61,-74.17
4.56,-74.22
4.69,-74.15
4.60,-74.22
4.56,-74.12
4.63,-74.12
4.61,-74.10
4.92,-74.03
4.69,-74.07
4.73,-74.10
4.70,-74.17
4.70,-74.06
4.73,-74.05
4.61,-74.16
4.64,-74.14
4.54,-74.15
6.12,-75.62
4.71,-74.09
4.76,-74.02
4.77,-74.05
4.85,-74.05
4.56,-74.11
4.62,-74.15
4.61,-74.08
4.69,-74.14
4.73,-74.22
4.49,-74.12
4.67,-74.08
4.75,-74.06
4.55,-74.12
4.99,-74.34
4.66,-74.13
4.50,-74.10
5.03,-74.00
4.75,-74.14
4.54,-74.10
4.87,-74.06
4.89,-74.04
4.47,-74.12
4.70,-74.02
4.76,-74.16
4.60,0.00
4.90,-74.03
4.90,-74.19
4.47,-74.15
4.64,-74.18
4.51,-74.12
4.64,-74.10
4.66,-74.07
4.58,-74.23
4.56,-74.24
4.75,-74.12
4.75,-74.11
4.52,-74.11
4.60,-74.20
4.60,-74.16
4.62,-74.21
4.59,-74.19
4.57,-74.18
4.57,-74.22
4.59,-74.16
4.61,-74.07
4.68,-74.15
4.64,-74.06
4.91,-74.10
4.61,-74.09
4.63,-74.13
4.62,-74.12
4.61,-74.21
4.59,-74.18
4.67,-74.15
4.69,-74.17
4.55,-74.11
4.71,-74.08
4.57,-74.07
4.86,-74.05
5.00,0.00
4.63,-74.10
4.68,-74.14
4.71,-74.20
4.65,-74.07
4.65,-74.09
4.74,-74.12
4.58,-74.19
4.57,-74.21
4.57,-74.17
4.75,-74.07
4.60,-74.14
4.59,-74.12
4.65,0.00
4.58,-74.18
4.54,-74.13
4.47,-74.13
4.75,-73.95
4.59,-74.22
4.67,-74.16
4.77,-74.02
5.01,-73.87
4.94,-74.02
5.01,0.00
4.74,-74.28
4.74,-74.35
4.71,-74.02
4.86,-74.07
4.82,-75.73
4.52,-74.24
4.80,-74.34
4.99,-73.87
4.55,-74.13
4.98,-74.31
4.53,-74.24
4.73,-74.13
4.48,-74.12
4.64,-74.17
4.58,-74.24
4.65,-74.06
4.64,-74.08
4.52,-74.09
4.74,-74.05
4.81,-74.10
3.98,-73.76
4.66,-74.12
4.58,-74.21
4.55,-74.16
4.81,-74.36
4.59,-74.09
4.56,-74.09
4.58,-74.22
4.60,-74.07
4.69,-74.13
4.51,-74.15
4.68,-74.13
4.60,-74.10
4.71,-74.22
4.59,-74.14
4.61,-74.13
4.73,-74.26
4.60,-74.13
4.63,-74.11
4.73,-74.28
4.62,-74.18
4.66,-74.14
4.67,-74.10
4.73,-74.06
5.02,-74.00
4.64,-74.15
4.53,-74.12
4.64,-74.07
4.70,-74.03
4.56,0.00
4.65,-74.05
4.53,-74.11
4.72,-74.09
4.64,-74.19
4.69,-74.08
4.72,-74.07
4.57,-74.11
4.66,-74.08
4.53,-74.08
4.68,-74.12
4.72,-74.21
4.58,-74.14
4.96,-74.44
4.86,-74.06
4.70,-74.14
7.08,-73.13
4.79,-74.21
5.04,-74.00
4.88,-74.04
4.76,-74.12
4.98,-73.88
4.87,-73.88
1.22,-77.29
4.92,-74.10
4.66,-74.16
4.82,-74.11
4.29,-74.80
4.61,0.00
7.06,-73.08
5.01,-74.48
5.02,-73.98
4.76,-74.01
3.47,-76.53
4.59,-74.23
4.63,-74.17
4.74,-74.04
4.67,-74.02
4.58,-74.12
4.65,-74.18
4.55,-74.09
4.68,-74.10
4.60,-74.18
4.61,-74.20
4.62,-74.20
4.68,-74.11
4.70,-74.09
4.67,-74.14
4.70,-74.21
4.55,-75.66
4.71,-74.24
4.61,-74.11
4.92,-74.02
4.73,-74.09
4.71,-74.07
4.70,-74.07
5.02,-73.99
4.75,-74.10
4.61,-74.14
4.61,-74.15
4.76,-74.09
4.76,-74.10
4.57,-74.23
4.53,-74.14
4.62,-74.07
4.74,-74.02
4.56,-74.23
4.65,-74.12
4.67,-74.05
4.66,-74.05
4.96,-73.92
4.73,-74.12
4.57,-74.13
4.49,-74.11
4.62,-74.10
4.68,-74.05
4.62,-74.14
4.71,-74.14
4.73,-74.07
4.61,-74.19
4.65,-74.14
4.80,-74.11
4.79,-74.34
4.64,-74.05
4.49,-74.26
4.65,-74.15
4.71,-74.04
4.74,-74.34
4.88,-73.94
4.67,-74.01
3.43,-76.53
4.74,-74.25
5.04,-73.99
5.03,0.00
4.87,-74.07
6.20,-75.58
4.96,-74.29
4.73,-74.18
4.99,-73.88
