lat,lng
-2.15,-79.89
-2.22,-79.92
-2.12,-79.92
-2.09,-79.94
-2.22,-79.91
-2.06,-79.99
-2.17,-79.89
-2.09,-79.93
-2.10,-79.93
-2.12,-79.95
-1.04,-80.49
-2.06,-79.89
-2.17,-79.83
-2.16,-79.83
-2.18,-79.83
-2.06,-79.91
-1.04,-80.46
-2.23,-79.94
-2.24,-79.92
-2.19,-79.92
-1.82,-80.23
-2.17,-79.91
-2.07,-79.96
-2.07,-79.92
-1.62,-79.98
-2.24,-79.93
-2.10,-79.97
-2.11,-79.90
-0.98,-80.72
-2.19,-79.91
-2.12,-79.98
-2.23,-79.93
-1.87,-79.98
-2.19,-79.85
-2.26,-80.91
-2.01,-79.93
-2.10,-79.89
-2.02,-79.81
-2.11,-80.01
-2.20,-79.94
-2.09,-79.98
-2.10,-79.95
-2.12,-79.89
-2.12,-79.99
-2.14,-79.90
-2.23,-80.10
-2.25,-79.90
-2.16,-79.92
-2.10,-79.92
-2.15,-79.93
-2.11,-79.97
-2.14,-79.95
-1.05,-80.45
-2.17,-79.82
-2.07,-79.93
-2.16,-79.93
-2.12,-79.90
-0.96,-80.67
-1.02,-80.47
-0.96,-80.74
-2.13,-79.94
-2.22,-80.09
-1.03,-80.46
-1.07,-80.45
-2.14,-79.83
-2.15,-79.92
-2.11,-79.95
-2.23,-79.91
-0.85,-80.53
-2.07,-79.95
-2.24,-80.09
-2.18,-79.85
-2.13,-79.97
-2.27,-79.87
-2.06,-79.93
-1.06,-80.44
-0.98,-80.71
-1.03,-80.34
-2.12,-79.93
-2.18,-79.91
-2.23,-80.85
-2.24,-79.89
-2.17,0.00
-1.00,-80.71
-2.12,-79.87
-2.27,-79.88
-2.06,-79.95
-2.22,-79.94
-2.09,-79.91
-2.08,-79.94
-2.20,-79.91
-2.14,-79.77
-2.21,-79.91
-2.08,-79.93
-2.10,-79.94
-2.11,-79.96
-1.05,-80.48
-1.06,-80.25
-2.23,-79.89
-2.17,-79.92
-1.88,-80.15
-2.05,-79.99
-1.96,-79.72
-0.98,-80.69
-1.07,-80.47
-1.02,-80.48
-1.07,-80.48
-2.11,-79.98
-2.09,-79.96
-1.82,-79.80
-2.33,-80.27
-2.10,-79.96
-2.16,-79.89
-2.15,-79.59
-2.10,-79.99
-0.96,-80.70
-1.03,-80.47
