lat,lng
6.24,-75.60
6.32,-75.56
6.16,-75.59
6.30,-75.56
6.24,-75.54
6.28,-75.55
6.32,-75.57
6.35,0.00
6.35,-75.56
6.23,-75.58
6.15,-75.64
6.35,-75.55
6.18,-75.57
6.26,-75.54
6.22,-75.60
6.18,-75.65
6.26,-75.60
6.22,-75.61
6.30,-75.59
6.28,-75.61
6.25,0.00
6.33,-75.57
6.16,-75.57
6.30,0.00
6.24,-75.53
0.00,0.00
6.15,-75.61
6.25,-75.57
6.18,-75.60
6.24,-75.56
6.24,-75.58
6.32,-75.55
6.23,-75.53
6.21,-75.60
6.23,0.00
6.22,-75.57
6.12,-75.63
6.21,0.00
6.24,-75.55
6.27,-75.57
6.28,-75.56
6.35,-75.57
6.24,-75.61
6.24,0.00
6.20,-75.59
6.17,-75.59
6.27,-75.56
6.29,-75.61
6.25,-75.58
6.34,-75.55
6.34,0.00
6.17,-75.60
6.22,-75.58
6.17,-75.62
6.10,-75.64
6.34,-75.56
6.29,-75.59
6.34,-75.53
6.28,-75.54
6.17,-75.64
6.18,-75.66
6.15,-75.58
6.30,-75.60
6.15,-75.59
6.31,0.00
6.23,-75.56
6.25,-75.56
6.28,-75.62
6.23,-75.57
6.33,-75.53
6.09,-75.63
6.23,-75.55
6.22,-75.59
6.27,-75.55
6.16,-75.58
6.20,-75.57
6.18,-75.59
6.21,-75.58
6.14,-75.63
6.34,-75.57
6.34,-75.52
6.20,-75.60
6.21,-75.59
6.29,-75.55
6.34,-75.54
6.19,-75.61
6.26,-75.58
6.21,-75.56
6.19,-75.66
6.29,-75.54
6.31,-75.56
6.30,-75.57
6.27,-75.58
6.27,-75.59
6.24,-75.57
6.25,-75.59
6.21,-75.55
6.26,0.00
6.28,-75.63
6.28,-75.59
6.30,-75.54
6.26,-75.62
6.31,-75.58
6.16,-75.64
6.25,-75.54
6.16,-75.62
6.25,-75.55
6.34,-75.51
6.12,0.00
6.29,-75.60
6.15,-75.60
6.27,0.00
6.16,-75.61
6.31,-75.54
6.08,-75.64
6.17,-75.61
6.18,-75.61
6.33,-75.56
6.26,-75.57
6.24,-75.59
6.29,-75.56
6.28,-75.64
6.23,-75.61
6.11,-75.64
6.18,-75.64
6.25,-75.62
6.31,-75.59
6.17,-75.57
6.16,-75.60
6.26,-75.59
6.20,-75.61
6.20,-75.55
6.14,-75.64
6.30,-75.55
6.31,-75.55
6.29,-75.57
6.27,-75.54
6.23,-75.54
6.35,-75.51
6.26,-75.56
6.27,-75.60
6.33,-75.54
6.23,-75.59
6.29,-75.58
6.14,-75.61
6.20,-75.56
6.19,-75.59
6.19,-75.58
6.30,-75.58
6.09,-75.64
6.28,0.00
6.17,0.00
6.35,-75.50
6.27,-75.63
6.26,-75.55
6.17,-75.58
6.31,-75.57
6.25,-75.61
6.35,-75.58
6.29,0.00
6.15,-75.62
6.18,-75.58
6.28,-75.60
6.26,-75.61
6.19,-75.60
6.28,-75.58
6.28,-75.57
6.32,-75.58
6.23,-75.60
6.25,-75.60
6.21,-75.57
6.17,-75.63
6.27,-75.61
6.32,0.00
6.16,-75.63
6.25,-75.63
6.33,-75.55
6.22,-75.63
6.20,-75.58
