lat,lng
-0.26,-79.15
-0.19,-78.52
-0.09,-78.50
-0.15,-78.43
-0.33,-78.45
-0.21,-78.39
-0.28,0.00
-0.98,-78.61
-1.30,-78.60
0.35,-78.12
-0.35,-78.55
0.34,-78.12
-0.07,-78.45
0.20,-78.19
-0.11,-78.49
-0.22,-78.37
-0.31,-78.54
-0.17,-78.49
-0.11,-78.42
-0.30,-78.46
-0.86,-78.61
-0.06,-78.42
-0.08,-78.47
-0.22,-78.40
-0.26,-79.19
0.01,-79.40
-0.50,-78.57
-0.21,-78.43
-0.27,-78.56
-1.19,-78.59
-0.28,-78.57
-0.32,-78.45
-0.12,-78.47
-0.09,-78.48
-0.14,-78.44
-0.28,-78.46
-1.23,-78.60
-0.24,-79.19
-0.27,-78.45
-0.34,-78.54
-0.31,-78.57
-0.23,-79.18
-0.31,-78.56
-0.08,-78.44
-1.25,-78.63
-0.93,-78.62
-1.35,-78.67
-0.33,-78.55
0.24,-78.26
-0.06,-78.34
-0.12,-78.51
-0.13,-78.49
-0.31,-78.40
-1.33,-78.54
-0.37,-78.56
-0.11,-78.47
-0.12,-78.44
-1.23,-78.59
-0.24,-79.24
-0.16,-78.45
-0.10,-78.48
-0.87,-78.60
0.34,-78.13
-0.05,-78.45
-0.88,-78.62
-0.26,-78.50
-1.14,-78.56
0.24,-78.27
-0.15,-78.34
-0.23,-79.19
-0.32,-79.01
-0.37,-78.42
-0.21,-78.37
0.18,-78.20
-0.21,-78.52
-0.38,-78.41
-0.13,-78.29
-1.30,-78.69
-1.33,-78.53
-0.25,-79.13
-0.35,-78.40
-0.16,-78.49
-0.24,-79.34
-1.87,-79.98
-0.07,-79.39
0.13,-78.18
-0.08,-78.34
-0.32,0.00
-0.14,-78.45
-1.88,-80.09
0.02,-79.40
-1.23,-78.64
-1.15,-78.54
-0.28,-79.17
-1.25,-78.59
-0.25,-78.44
-1.24,-78.69
0.34,-78.19
-0.15,-79.40
-0.13,-78.41
-0.76,-78.69
-0.25,-78.45
-1.82,-80.23
-0.12,-78.46
-0.35,-78.49
-0.24,-78.48
-0.28,-78.55
-0.22,-78.34
-0.32,-78.44
0.22,-78.27
-0.35,-78.38
-0.22,-78.41
-0.27,-78.49
0.34,-78.20
-0.95,-78.69
-0.28,-78.49
-0.34,-78.45
0.34,-78.14
-1.26,-78.62
-0.25,-79.16
-0.20,-78.50
-0.12,-78.49
-0.21,-78.42
-0.26,-78.52
-0.32,-78.49
-0.34,-78.55
-0.28,-78.54
-0.28,-78.47
-0.26,-79.17
-0.20,-78.38
-0.16,-78.32
-0.13,-78.31
-0.21,-78.38
-0.30,-78.53
-0.11,-78.52
-0.30,0.00
-0.13,0.00
-0.23,-78.50
-0.03,-78.45
-0.32,-78.47
-0.41,-79.31
-0.28,-79.19
-0.25,-78.52
-0.18,-78.37
-0.32,-78.55
-0.06,-78.43
-0.26,-79.16
-1.28,-78.62
-0.29,-78.47
-0.27,-79.15
0.31,-78.20
-0.96,-78.70
-0.34,-78.41
-0.11,-78.46
-0.27,-79.46
-0.12,-78.45
-0.26,-79.12
-0.29,-78.43
-0.22,-78.36
-1.32,-78.58
-0.88,-78.63
-0.08,0.00
-0.31,-78.47
-0.11,-78.50
-1.87,-80.09
-0.15,-79.39
0.01,-78.44
-0.20,-78.37
0.05,-78.21
-0.25,-78.48
-0.24,-78.55
-0.14,-78.41
-0.22,-78.42
-0.19,-79.02
-0.08,-78.52
-0.23,-79.20
