lat,lng
19.50,-99.12
19.53,-99.19
19.52,-99.16
19.54,-99.22
19.60,-99.02
19.68,-99.09
19.56,-99.26
19.59,-99.23
19.61,-99.34
19.36,-99.03
19.63,-98.98
19.52,-99.02
19.49,-99.09
19.66,-99.21
19.30,-99.07
19.61,-98.97
19.42,-99.11
19.63,-99.05
19.33,-99.05
19.50,-99.11
19.64,-99.13
19.47,-99.11
19.71,-98.97
19.47,-99.06
19.52,-99.22
19.62,-99.07
19.38,-99.30
19.46,-99.27
19.70,-99.17
19.59,-99.01
19.45,-99.26
19.60,-98.94
19.68,-99.10
19.43,-99.05
19.33,-99.09
19.29,-98.94
19.55,-98.92
19.54,-98.87
19.39,-99.07
19.65,-98.90
19.40,-98.94
19.51,-99.20
19.36,-99.12
19.59,-98.98
19.34,-99.01
19.50,-99.25
19.42,-99.27
19.43,-98.95
19.59,-99.17
19.47,-99.21
19.61,-98.95
19.66,-99.13
19.44,-99.27
19.59,-99.05
19.52,-99.25
19.32,-99.04
19.46,-99.24
19.68,-99.03
19.51,-99.25
19.69,-99.07
19.55,-99.22
19.36,-99.11
19.37,-99.08
19.48,-99.05
19.47,-99.08
19.68,-98.99
19.42,-99.06
19.62,-98.96
19.43,-98.96
19.59,-98.95
19.39,-99.12
19.60,-99.20
19.62,-99.35
19.64,-99.14
19.39,-99.06
19.43,-99.17
19.42,-99.07
19.37,-98.95
19.63,-98.94
19.45,-98.87
19.64,-99.35
19.38,-99.12
19.42,-99.01
19.44,-98.94
19.54,-99.17
19.35,-98.98
19.45,-98.96
19.56,-99.22
19.51,-99.23
19.71,-99.19
19.36,-99.00
19.45,-99.08
19.55,-99.09
19.44,-99.09
19.63,-99.13
19.49,-99.05
19.52,-98.90
19.42,-99.00
19.57,-99.25
19.42,-98.91
19.68,-98.90
19.67,-98.90
19.50,-99.21
19.57,-98.88
19.30,-98.92
19.70,-99.07
19.56,-98.86
19.63,-99.15
19.52,-99.10
19.69,-99.18
19.41,-98.95
19.51,-99.16
19.63,-99.35
19.68,-99.24
19.49,-98.90
19.50,-99.16
19.70,-99.14
19.29,-99.06
19.69,-99.12
19.62,-98.97
19.63,-98.91
19.46,-99.14
19.59,-98.92
19.42,-99.17
19.53,-99.20
19.23,-98.90
19.36,-99.08
19.53,-99.07
19.63,-99.36
19.60,-99.32
19.40,-99.21
19.50,-99.22
19.61,-98.94
19.54,-99.20
19.58,-99.03
19.65,-99.25
19.68,-99.19
19.69,-99.21
19.40,-99.10
19.40,-99.09
19.69,-98.97
19.48,-98.90
19.75,-99.09
19.70,-99.10
19.39,-99.25
19.69,-99.28
19.58,-99.05
19.50,-99.26
19.52,-99.04
19.77,-98.98
19.65,-99.06
19.46,-99.23
19.69,-99.11
19.46,-99.10
19.58,-99.19
19.63,-99.22
19.38,-99.05
19.61,-99.18
19.56,-99.24
19.60,-99.04
19.66,-99.11
19.51,-99.05
19.56,-99.03
19.52,-99.18
19.66,-99.22
19.47,-99.12
19.55,-99.02
19.61,-98.99
19.59,-98.96
19.32,-99.06
19.57,-99.13
19.33,-98.98
19.50,-99.20
19.55,-99.15
19.45,-99.07
19.51,-99.21
19.47,-99.26
19.72,-99.08
19.41,-99.14
19.51,-99.24
19.53,-99.25
19.51,-99.09
19.67,-99.16
19.67,-99.18
19.61,-99.33
19.66,-98.99
19.48,-99.21
19.45,-99.18
19.45,-99.14
19.49,-99.23
19.40,-99.13
19.68,-99.02
19.30,-99.02
19.61,-99.16
19.36,-99.10
19.62,-99.33
19.50,-99.13
19.64,-99.11
19.46,-99.21
19.61,-99.02
19.52,-99.19
19.50,-99.28
19.42,-99.15
19.59,-99.02
19.44,-98.93
19.30,-99.08
19.41,-99.15
19.42,-99.14
19.31,-99.08
19.48,-99.22
19.44,-98.95
19.43,-99.07
19.34,-98.98
19.57,-99.19
19.48,-99.09
19.54,-99.23
19.37,-99.00
19.42,-99.05
19.68,-99.26
19.58,-98.94
19.39,-99.08
19.53,-99.03
19.41,-98.89
19.63,-98.99
19.41,-98.94
19.62,-99.21
19.44,-98.97
19.35,-98.95
19.30,-99.06
19.37,-98.92
19.49,-98.88
19.62,-99.10
19.62,-99.08
19.44,-99.13
19.53,-99.08
19.53,-99.12
19.55,-99.13
19.34,-98.99
19.50,-99.06
19.45,-99.12
19.61,-99.30
19.64,-99.02
19.41,-98.93
19.41,-99.03
19.32,-99.09
19.35,-99.08
19.70,-99.25
19.48,-98.87
19.54,-99.12
19.51,-99.02
19.57,-99.21
19.38,-98.91
19.41,-99.13
19.35,-99.10
19.35,-99.01
19.71,-99.07
19.44,-99.28
19.59,-99.32
19.58,-99.24
19.36,-99.06
19.32,-99.05
19.48,-98.91
19.40,-98.95
19.37,-98.93
19.47,-99.09
19.35,-99.13
19.52,-98.86
19.63,-99.24
19.73,-98.96
19.41,-98.90
19.46,-99.04
19.58,-99.21
19.32,-99.03
19.69,-99.00
19.72,-99.15
19.64,-99.26
19.49,-99.26
19.64,-99.34
19.72,-99.09
19.59,-99.26
19.43,-98.89
19.56,-98.92
19.42,-98.95
19.30,-99.11
19.35,-98.97
19.28,-99.01
19.57,-98.89
19.56,-98.93
19.66,-98.89
19.75,-98.96
19.57,-99.26
19.51,-99.15
19.49,-99.30
19.47,-99.27
19.68,-99.11
19.35,0.00
19.66,-98.94
19.35,-98.94
19.61,-99.36
19.61,-99.27
19.46,0.00
19.54,-98.89
19.29,-99.03
19.71,-99.11
19.43,-99.16
19.63,-99.17
19.34,-99.10
19.67,-99.21
19.63,-99.06
19.33,-99.10
19.60,-99.23
19.56,-98.89
19.52,-99.17
19.54,-99.10
19.60,-99.25
19.53,-99.17
19.38,-99.01
19.43,-99.20
19.56,-99.27
19.43,-99.25
19.58,-99.06
19.74,-98.95
19.58,-99.22
19.49,-99.19
19.46,-99.16
19.69,-99.19
19.65,-99.14
19.37,-99.10
19.40,-99.05
19.64,-99.08
19.62,-99.18
19.60,-99.15
19.65,-99.12
19.62,-99.03
19.55,-99.20
19.35,-99.02
19.34,-99.04
19.35,-99.04
19.44,-99.33
19.35,-99.05
19.44,-99.15
19.61,-99.29
19.54,-99.08
19.42,-98.94
19.39,-99.13
19.37,-99.12
19.40,-98.99
19.45,-99.13
19.63,-99.02
19.56,-98.91
19.67,-99.22
19.61,-99.06
19.64,-99.00
19.39,-98.92
19.48,-99.23
19.47,-99.23
19.39,-98.94
19.68,-99.17
19.34,-98.95
19.34,-99.03
19.55,-98.86
19.48,-99.15
19.46,-99.26
19.43,-99.10
19.55,-99.23
19.37,-98.97
19.32,-99.08
19.53,-99.09
19.39,-98.97
19.42,-98.98
19.61,-99.00
19.66,-99.10
19.33,-99.01
19.70,-99.13
19.47,-99.04
19.59,-99.25
19.57,-99.03
19.47,-99.18
19.59,-99.28
19.41,-99.02
19.35,-98.99
19.49,-99.18
19.59,-98.90
19.51,-99.08
19.62,-99.34
19.53,-99.10
19.38,-98.94
19.65,-98.99
19.62,-99.15
19.54,-99.04
19.60,-99.00
19.38,-99.03
19.47,-99.15
19.55,-99.14
19.69,-99.09
19.38,-99.10
19.43,-98.98
19.42,-99.03
19.62,-99.13
19.47,-99.19
19.43,-98.94
19.56,-99.05
19.65,-99.07
19.60,-98.97
19.39,-99.03
19.57,-98.91
19.51,-99.10
