id,source_country,source_client,lat,lng
11525,COLOMBIA,Client,3.4625237,-76.5058868
25869,COLOMBIA,Client,10.9688624,-74.7884261
13008,COLOMBIA,Client,4.5616433,-74.0880667
14189,COLOMBIA,Client,3.2565123,-76.55453
22388,COLOMBIA,Client,4.5877198,-74.1675062
9048,COLOMBIA,Client,4.7173547,-74.0418445
13059,COLOMBIA,Client,4.5902739,-74.1980379
2368,COLOMBIA,Client,4.7285926,-74.0926322
2695,COLOMBIA,Client,4.5658333,-74.1910637
2145,COLOMBIA,Client,3.4900293,-76.4964517
5628,COLOMBIA,Client,4.7124509,-74.121093
3012,COLOMBIA,Client,3.4328723,-76.5256608
288,COLOMBIA,Client,4.7140543,-74.1414346
18632,COLOMBIA,Client,6.1853057,-75.6576182
25916,COLOMBIA,Client,3.2285218,-76.4187794
12677,COLOMBIA,Client,4.5833185,-74.1092102
1917,COLOMBIA,Client,4.7467395,-74.0822502
15240,COLOMBIA,Client,4.6364666,-74.1684593
13188,COLOMBIA,Client,4.6217728,-74.1136093
9479,COLOMBIA,Client,7.1290655,-73.1298292
10671,COLOMBIA,Client,4.615301,-74.143189
38630,COLOMBIA,Client,5.0269886,-74.0020797
4363,COLOMBIA,Client,3.4040104,-76.461505
36496,COLOMBIA,Client,4.6231422,-74.1672477
10608,COLOMBIA,Client,4.6578755,-74.068234
6380,COLOMBIA,Client,7.0910176,-73.1052454
4760,COLOMBIA,Client,3.4237798,-76.5448594
17405,COLOMBIA,Client,6.1761612,-75.606599
22449,COLOMBIA,Client,4.6214004,-74.0956985
26760,COLOMBIA,Client,4.6306236,-74.0830108
2584,COLOMBIA,Client,4.5682785,-74.1827604
34150,COLOMBIA,Client,11.0154807,-74.8245402
36100,COLOMBIA,Client,3.4202925,-76.4691592
1579,COLOMBIA,Client,4.6716115,-74.1082943
33358,COLOMBIA,Client,4.719988,-74.09476
10793,COLOMBIA,Client,3.4086048,-76.5146557
18496,COLOMBIA,Client,4.5656693,-74.1013839
13888,COLOMBIA,Client,4.5919696,-74.1961864
18738,COLOMBIA,Client,6.224394,-75.597105
9916,COLOMBIA,Client,3.4359677,-76.5221298
11911,COLOMBIA,Client,4.5710878,-74.1184975
16398,COLOMBIA,Client,6.2739146,-75.5588512
3715,COLOMBIA,Client,4.7450616,-74.1182942
1471,COLOMBIA,Client,4.6071544,-74.2194412
30329,COLOMBIA,Client,4.6999179,-74.0813007
2078,COLOMBIA,Client,3.4543524,-76.5192745
12687,COLOMBIA,Client,4.689237,-74.0550529
22265,COLOMBIA,Client,10.9841012,-74.9542173
11522,COLOMBIA,Client,4.5611695,-74.1456207
4775,COLOMBIA,Client,4.723139,-74.0856367
11704,COLOMBIA,Client,3.4592337,-76.4883978
7168,COLOMBIA,Client,4.7357118,-74.0560319
22779,COLOMBIA,Client,4.5168982,-74.0945365
16119,COLOMBIA,Client,4.6080083,-74.1657375
19071,COLOMBIA,Client,4.7154054,-74.0529848
15503,COLOMBIA,Client,4.717377,-74.0526249
32282,COLOMBIA,Client,5.0180508,-73.9993481
22239,COLOMBIA,Client,4.5713808,-74.2232456
10756,COLOMBIA,Client,3.4463649,-76.5138378
9395,COLOMBIA,Client,4.6291605,-74.1507204
12424,COLOMBIA,Client,4.6049241,-74.0818694
3150,COLOMBIA,Client,4.5608236,-74.1269158
35839,COLOMBIA,Client,4.730177,-74.02295
11984,COLOMBIA,Client,4.5856712,-74.0976331
16153,COLOMBIA,Client,4.7447225,-74.1185113
4533,COLOMBIA,Client,7.0772618,-73.0940417
